G2-M Checkpoint,4/200,4.8141201780116E-08,4.8141201780116E-07,0,0,404.061224489796,6808.0790652455,TOP2A;CDK1;CDC6;AURKB,,,
WEE1 human kinase ARCHS4 coexpression,4/299,2.41942146936208E-07,1.02153350928621E-06,0,0,267.118644067797,4069.43693385559,TOP2A;CDK1;CDC6;AURKB,,,
Cell Cycle  Mitotic Homo sapiens R-HSA-69278,4/462,1.37982547295854E-06,6.41618844925722E-05,0,0,170.628820960699,2302.38913036036,TOP2A;CDK1;CDC6;AURKB,,,
G0 and Early G1 Homo sapiens R-HSA-1538133,3/25,1.72215024715644E-08,1.60159972985549E-06,0,0,1361.79545454545,24344.9631758708,TOP2A;CDK1;CDC6,,,
G0 and early G1 pathway,3/25,1.72215024715644E-08,1.65326423727018E-06,0,0,1361.79545454545,24344.9631758708,TOP2A;CDK1;CDC6,,,
MAPK1 knockdown 96h A375,4/300,2.45201755283049E-07,2.91790088786828E-05,0,0,266.202702702703,4051.92044540389,CHAF1B;CDK1;CDC6;AURKB,,,
FGFR1 knockdown 96h HT29,4/300,2.45201755283049E-07,2.91790088786828E-05,0,0,266.202702702703,4051.92044540389,TOP2A;CHAF1B;CDK1;CDC6,,,
RXRA knockdown 96h A375,4/300,2.45201755283049E-07,2.91790088786828E-05,0,0,266.202702702703,4051.92044540389,TOP2A;CHAF1B;CDK1;AURKB,,,
WEE1 knockdown 96h A375,4/300,2.45201755283049E-07,2.91790088786828E-05,0,0,266.202702702703,4051.92044540389,TOP2A;CHAF1B;CDK1;AURKB,,,
SRC knockdown 96h HT29,4/300,2.45201755283049E-07,2.91790088786828E-05,0,0,266.202702702703,4051.92044540389,TOP2A;CHAF1B;CDK1;AURKB,,,
STK3 knockdown 96h A549,4/300,2.45201755283049E-07,2.91790088786828E-05,0,0,266.202702702703,4051.92044540389,CHAF1B;CDK1;CDC6;AURKB,,,
Metaphase/Anaphase Phase Transition,2/8,1.39910874621147E-06,3.54514206888363E-05,0,0,2221,29938.3584724232,CDK1;AURKB,,,
Cell Cycle Overiew,3/107,1.47714252870151E-06,3.54514206888363E-05,0,0,286.889423076923,3851.60556476245,CDK1;CDC6;AURKB,,,
Cell cycle,4/453,1.27554346259953E-06,6.12260862047775E-05,0,0,174.129175946548,2363.30524495093,TOP2A;CDK1;CDC6;AURKB,,,
Chromosome Condensation,2/15,5.24306953950488E-06,6.51809735780882E-05,0,0,1024.71794871795,12459.1391774979,CDK1;AURKB,,,
Spindle Assembly,2/16,5.99148920325627E-06,6.51809735780882E-05,0,0,951.47619047619,11441.6634760018,CDK1;AURKB,,,
Histone Phosphorylation,2/17,6.78968474771753E-06,6.51809735780882E-05,0,0,888,10567.2941691846,CDK1;AURKB,,,
Mitotic G1-G1/S phases Homo sapiens R-HSA-453279,3/136,3.04492180117697E-06,7.21349567618501E-05,0,0,224.007518796992,2845.3514197798,TOP2A;CDK1;CDC6,,,
Cell Cycle Homo sapiens R-HSA-1640170,4/566,3.10257878545592E-06,7.21349567618501E-05,0,0,138.313167259786,1754.26420286887,TOP2A;CDK1;CDC6;AURKB,,,
CSNK2A2 human kinase ARCHS4 coexpression,3/299,3.23521721312637E-05,7.23166200581188E-05,0,0,99.8260135135135,1032.08412285573,CDK1;CDC6;AURKB,,,
Mitotic G1-G1/S phases,3/135,2.97797802899339E-06,9.52952969277883E-05,0,0,225.715909090909,2872.06926804362,TOP2A;CDK1;CDC6,,,
APC/C-FZR1 Complex,2/23,1.26233161546432E-05,0.000100986529237,0,0,634.095238095238,7152.5720705602,CDK1;AURKB,,,
G1/S-Specific Transcription Homo sapiens R-HSA-69205,2/17,6.78968474771753E-06,0.000126288136308,0,0,888,10567.2941691846,CDK1;CDC6,,,
G1/S-specific transcription,2/17,6.78968474771753E-06,0.000162952433945,0,0,888,10567.2941691846,CDK1;CDC6,,,
APC/C-CDC20 Complex,2/33,2.63181604025387E-05,0.000167761581317,0,0,429.333333333333,4527.42791184729,CDK1;AURKB,,,
SCF/BTRC Complex,2/34,2.79602635528303E-05,0.000167761581317,0,0,415.895833333333,4360.55394628301,CDK1;AURKB,,,
PIN1,3/145,3.69293433679279E-06,0.000253138287127,0,0,209.714788732394,2623.34099937961,TOP2A;CDK1;AURKB,,,
