Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
CRM1-Survivin-AuroraB mitotic complex (human),1/3,0.000449942251413685,0.000599894245053989,0,0,4998.75,38522.3235789917,AURKB
Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB) (human),1/3,0.000449942251413685,0.000599894245053989,0,0,4998.75,38522.3235789917,AURKB
Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB) (human),1/4,0.000599894245053989,0.000599894245053989,0,0,3332.33333333333,24721.7718312461,AURKB
RasGAP-AURKA/AURKB-survivin complex (human),1/4,0.000599894245053989,0.000599894245053989,0,0,3332.33333333333,24721.7718312461,AURKB
BIRC5-AURKB-INCENP-EVI5 complex (human),1/4,0.000599894245053989,0.000599894245053989,0,0,3332.33333333333,24721.7718312461,AURKB
Barasertib,1/5,0.000749831471870374,0.0281895215643113,0,0,2499.125,17982.8589978205,AURKB
Metaphase/Anaphase Phase Transition,1/8,0.00119955410911963,0.00944181114341097,0,0,1427.85714285714,9603.48923469958,AURKB
Tozasertib,1/8,0.00119955410911963,0.0281895215643113,0,0,1427.85714285714,9603.48923469958,AURKB
STK4,1/10,0.00149929476953185,0.0059971790781274,0,0,1110.44444444444,7220.9541986836,AURKB
KIAA0907,1/10,0.00149929476953185,0.00710811948577245,0,0,1110.44444444444,7220.9541986836,S100A7
AIRE,1/12,0.00179897576875959,0.00710811948577245,0,0,908.454545454545,5741.92128812022,S100A7
SUGT1,1/12,0.00179897576875959,0.00710811948577245,0,0,908.454545454545,5741.92128812022,AURKB
Microtubule Cytoskeleton,1/12,0.00179897576875959,0.00944181114341097,0,0,908.454545454545,5741.92128812022,AURKB
RNF25,1/14,0.00209859705054957,0.00710811948577245,0,0,768.615384615385,4739.65618438129,S100A7
Chromosome Condensation,1/15,0.002248385285759,0.00944181114341097,0,0,713.678571428571,4351.68575689191,AURKB
ZNF354C,1/16,0.00239815857855179,0.00710811948577245,0,0,666.066666666667,4018.41623091548,S100A7
Spindle Assembly,1/16,0.00239815857855179,0.00944181114341097,0,0,666.066666666667,4018.41623091548,AURKB
Histone Phosphorylation,1/17,0.00254791692627063,0.00944181114341097,0,0,624.40625,3729.25330632509,AURKB
Sister Chromatid Cohesion,1/18,0.00269766032668885,0.00944181114341097,0,0,587.647058823529,3476.15003346063,AURKB
Lapatinib,1/19,0.00284738877757407,0.0389858524127425,0,0,554.972222222222,3252.88805695113,AURKB
CA8,1/20,0.00299710227697048,0.00710811948577245,0,0,525.736842105263,3054.58854972563,S100A7
HSP90AB1,1/23,0.00344615305630759,0.00710811948577245,0,0,453.977272727273,2574.27663877793,AURKB
APC/C-FZR1 Complex,1/23,0.00344615305630759,0.00965457709097369,0,0,453.977272727273,2574.27663877793,AURKB
C16orf70,1/26,0.00389506923436901,0.00710811948577245,0,0,399.44,2216.11062530876,S100A7
Proteins with Altered Expression in Psoriasis,1/27,0.00404467804622706,0.00965457709097369,0,0,384.057692307692,2116.29358166937,S100A7
HSP90AA1,1/28,0.00419427190091997,0.00710811948577245,0,0,369.814814814815,2024.37943125831,AURKB
HSP90AA4P,1/29,0.00434385079686094,0.00710811948577245,0,0,356.589285714286,1939.48700111416,AURKB
Aurora A signaling Homo sapiens f131cf8e-618b-11e5-8ac5-06603eb7f303,1/31,0.00464296371323848,0.00798430853597226,0,0,332.783333333333,1787.84597380293,AURKB
APC/C-CDC20 Complex,1/33,0.0049420167963793,0.00965457709097369,0,0,311.953125,1656.46540769326,AURKB
SCF/BTRC Complex,1/34,0.00509152090098156,0.00965457709097369,0,0,302.484848484848,1597.17405140703,AURKB
IL22 Induces Keratinocyte Proliferation in Psoriasis,1/35,0.00524101004609641,0.00965457709097369,0,0,293.573529411765,1541.62536659043,S100A7
Aurora B signaling Homo sapiens 304a75af-618c-11e5-8ac5-06603eb7f303,1/39,0.00583881704612273,0.00798430853597226,0,0,262.618421052632,1350.70617046735,AURKB
HSP90AA5P,1/39,0.00583881704612273,0.00846737904440502,0,0,262.618421052632,1350.70617046735,AURKB
Aurora B signaling,1/39,0.00583881704612273,0.0229305246420884,0,0,262.618421052632,1350.70617046735,AURKB
FOXM1 transcription factor network Homo sapiens c51cda49-6192-11e5-8ac5-06603eb7f303,1/40,0.0059882314019792,0.00798430853597226,0,0,255.871794871795,1309.5413986235,AURKB
Kinetochore Assembly,1/40,0.0059882314019792,0.00965457709097369,0,0,255.871794871795,1309.5413986235,AURKB
ZIC1,1/41,0.00613763080051258,0.00846737904440502,0,0,249.4625,1270.59146099404,S100A7
IL17 Signaling in Psoriasis,1/41,0.00613763080051258,0.00965457709097369,0,0,249.4625,1270.59146099404,S100A7
FOXM1 transcription factor network,1/41,0.00613763080051258,0.0229305246420884,0,0,249.4625,1270.59146099404,AURKB
Dendritic Cells Function in Psoriasis,1/43,0.00643638472731579,0.00965457709097369,0,0,237.559523809524,1198.67505967293,S100A7
