Geneid,logFC,logCPM,PValue
ABCC4,10.6070943638372,7.17408825416913,0.0228470666871893
AQP9,10.8014442118491,7.36421070820554,0.0147026577129445
GNG11,11.0644596202063,7.62213695698707,0.00809682143183485
HCK,10.3200575634324,6.89488682993568,0.0485269398101174
ICAM1,12.2197259725585,8.76312170085382,0.000786904766129246
IL1B,11.6322780817875,11.9935878361883,7.22907390620066e-05
IL1RN,9.34289250506155,7.60595947431005,0.0149144673592806
LCP1,12.0224918945088,8.5675837596231,0.00117649508037157
MAFB,6.56981273840424,7.77653505855931,0.0411708511982609
PECAM1,10.388494397252,6.96168141715564,0.0409036611610299
PTGER2,10.6151859934543,7.18234079462334,0.0223150366205243
PTX3,11.7851102438365,8.33259434777744,0.00185667173072993
S100A4,12.4824911898633,9.02395327637855,0.000486167986308318
SERPINB2,11.9210093699235,8.46708071877994,0.0014357267975682
SPARC,11.6660418132666,8.21487733552143,0.00231002631224138
SRGN,9.5994552684877,10.6163115033594,0.000706101382755115
TUBA1A,10.637801924133,7.20393117371659,0.0209462377033181
VIM,11.4070151298536,7.95919394030687,0.00387394067272654
