!Sample_title,Origin,Sample_Type,Number_of_Cells,CTC_Cluster_Size,Number_of_CTC,Donor
Br37.1,patient,CTC-single,1,NA,1,Br37
Br37.2,patient,CTC-single,1,NA,1,Br37
Br38.5,patient,CTC-single,1,NA,1,Br38
Br38.6,patient,CTC-single,1,NA,1,Br38
Br23.20,patient,CTC-cluster,1,4,1,Br23
Br23.23,patient,CTC-cluster,1,2,1,Br23
Br23.26,patient,CTC-cluster,1,4,1,Br23
Br23.27,patient,CTC-cluster,3,4,3,Br23
Br23.28,patient,CTC-single,1,NA,1,Br23
Br44.3,patient,CTC-single,1,NA,1,Br44
Br38.12,patient,CTC-single,1,NA,1,Br38
Br39.15,patient,CTC-single,1,NA,1,Br39
Br39.16,patient,CTC-single,1,NA,1,Br39
Br39.23,patient,CTC-cluster,2,2,2,Br39
Br39.28,patient,CTC-single,1,NA,1,Br39
Br39.1,patient,CTC-single,1,NA,1,Br39
Br11.1,patient,CTC-single,1,NA,1,Br11
Br11.10,patient,CTC-cluster,2,2,2,Br11
Br11.11,patient,CTC-single,1,NA,1,Br11
Br11.17,patient,CTC-single,1,NA,1,Br11
Br11.18,patient,CTC-cluster,2,2,2,Br11
Br11.19,patient,CTC-single,1,NA,1,Br11
Br11.2,patient,CTC-single,1,NA,1,Br11
Br11.3,patient,CTC-single,1,NA,1,Br11
Br11.4,patient,CTC-single,1,NA,1,Br11
Br11.6,patient,CTC-single,1,NA,1,Br11
Br11.7,patient,CTC-single,1,NA,1,Br11
Br11.8,patient,CTC-single,1,NA,1,Br11
Br11.9,patient,CTC-single,1,NA,1,Br11
Br45.CTC.2,patient,CTC-single,1,NA,1,Br45
Br45.CTC.3,patient,CTC-single,1,NA,1,Br45
Br53.CTC.1,patient,CTC-cluster,2,2,2,Br53
Br57.CTC.10,patient,CTC-single,1,NA,1,Br57
Br57.CTC.11,patient,CTC-single,1,NA,1,Br57
Br57.CTC.12,patient,CTC-single,1,NA,1,Br57
Br57.CTC.13,patient,CTC-single,1,NA,1,Br57
Br57.CTC.14,patient,CTC-single,1,NA,1,Br57
Br57.CTC.15,patient,CTC-single,1,NA,1,Br57
Br57.CTC.16,patient,CTC-single,1,NA,1,Br57
Br57.CTC.17,patient,CTC-cluster,2,2,2,Br57
Br57.CTC.2,patient,CTC-single,1,NA,1,Br57
Br57.CTC.3,patient,CTC-single,1,NA,1,Br57
Br57.CTC.4,patient,CTC-single,1,NA,1,Br57
Br57.CTC.7,patient,CTC-single,1,NA,1,Br57
Br57.CTC.8,patient,CTC-single,1,NA,1,Br57
Br57.CTC.9,patient,CTC-single,1,NA,1,Br57
Br61.CTC.10,patient,CTC-single,1,NA,1,Br61
Br61.CTC.13,patient,CTC-single,1,NA,1,Br61
Br61.CTC.18,patient,CTC-cluster,1,2,1,Br61
Br61.CTC.20,patient,CTC-single,1,NA,1,Br61
Br61.CTC.22,patient,CTC-cluster,1,3,1,Br61
Br61.CTC.23,patient,CTC-cluster,2,3,2,Br61
Br61.CTC.24,patient,CTC-cluster,2,2,2,Br61
Br61.CTC.25,patient,CTC-single,1,NA,1,Br61
Br61.CTC.34,patient,CTC-cluster,1,2,1,Br61
Br61.CTC.35,patient,CTC-single,1,NA,1,Br61
Br61.CTC.38,patient,CTC-cluster,2,2,2,Br61
Br61.CTC.4,patient,CTC-single,1,NA,1,Br61
Br61.CTC.45,patient,CTC-cluster,1,2,1,Br61
Br61.CTC.6,patient,CTC-single,1,NA,1,Br61
Br7.7.12,patient,CTC-cluster,3,3,3,Br7
Br7.1.SG,patient,CTC-cluster,3,3,3,Br7
Br7.2,patient,CTC-single,1,NA,1,Br7
Br7.5,patient,CTC-single,1,NA,1,Br7
Br16.1,patient,CTC-single,1,NA,1,Br16
Br16.3,patient,CTC-cluster,2,2,2,Br16
Br16.4,patient,CTC-single,1,NA,1,Br16
Br16.5,patient,CTC-cluster,3,3,3,Br16
Br16.6,patient,CTC-cluster,3,3,3,Br16
