Term,Overlap.x,P.value.x,Adjusted.P.value.x,Old.P.value.x,Old.Adjusted.P.value.x,Odds.Ratio.x,Combined.Score.x,Genes.x,Overlap.y,P.value.y,Adjusted.P.value.y,Old.P.value.y,Old.Adjusted.P.value.y,Odds.Ratio.y,Combined.Score.y,Genes.y
Cochlear Inflammation (Noise-Induced),3/12,8.09023401191225e-06,0.000469233572690911,0,0,102.169230769231,1197.91920180223,TGFB1;PECAM1;ICAM1,1/12,0.00179897576875959,0.00907107167013115,0,0,908.454545454545,5741.92128812022,CCL2
Hexosamine Pathway in Diabetic Microangiopathy,2/11,0.000614179683482303,0.00647680393490428,0,0,67.0808080808081,496.077536690995,TGFB1;SERPINE1,1/11,0.00164914273085112,0.00907107167013115,0,0,999.35,6403.33480835207,PLAU
Proteins with Altered Expression in Systemic Scleroderma,2/12,0.000735398408705035,0.00699231273850689,0,0,60.369696969697,435.573289100152,PDGFRA;TGFB1,1/12,0.00179897576875959,0.00907107167013115,0,0,908.454545454545,5741.92128812022,CCL2
Fibroblast growth factor 1,3/26,9.24081080033793e-05,0.00258742702409462,0,0,39.9511705685619,371.118242334436,CDKN1A;SERPINE1;TCF4,1/26,0.00389506923436901,0.0153069028079862,0,0,399.44,2216.11062530876,PLAU
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,4/42,1.24082887227302e-05,0.00059676389367213,0,0,32.7203947368421,369.647072046267,TGFB1;ITGB5;SERPINE1;ITGA5,1/42,0.00628701524151983,0.0158764156607123,0,0,243.365853658537,1233.6869399593,PLAU
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling Homo sapiens 503076a2-6196-11e5-8ac5-06603eb7f303,4/42,1.24082887227302e-05,0.00112915427376845,0,0,32.7203947368421,369.647072046267,TGFB1;ITGB5;SERPINE1;ITGA5,1/42,0.00628701524151983,0.00901093861824211,0,0,243.365853658537,1233.6869399593,PLAU
Proteins Involved in Systemic Scleroderma,4/49,2.30715742210139e-05,0.000892100869879204,0,0,27.6208333333333,294.905130947814,PDGFRA;SPARC;TGFB1;ICAM1,1/49,0.00733228757304079,0.0126861105462276,0,0,207.802083333333,1021.44443446465,CCL2
Platelet-mediated interactions with vascular and circulating cells WP4462,2/17,0.00149882310777215,0.0131014292074948,0,0,40.2363636363636,261.660093417879,TGFB1;ICAM1,1/17,0.00254791692627063,0.0151023883026845,0,0,624.40625,3729.25330632509,CCL2
Proteins Involved in Prostate Cancer,7/138,4.36143306101235e-07,6.3240779384679e-05,0,0,17.3453885621324,254.028331755602,CDKN1A;TGFB1;CDH1;TGFB1I1;ILK;ADAM9;CLU,2/138,0.000141153874297156,0.00150136393570611,0,0,292.073529411765,2589.42459378401,PLAU;CCL2
RAGE pathway,4/60,5.16282093447673e-05,0.00206339134872099,0,0,22.1830357142857,218.978558026998,TGFB1;SERPINE1;ITGA5;ICAM1,1/60,0.00897337803301339,0.0177648263113934,0,0,168.966101694915,796.42055134622,CCL2
Proteins Involved in Glioma,10/290,4.87284211137037e-08,2.82624842459481e-05,0,0,12.1009852216749,203.74432909464,PDGFRA;CDKN1A;SPARC;TGFB1;ELMO1;ILK;SLC2A3;ITGA5;DKK1;LIMS1,3/290,3.01738014815311e-06,0.000276095361914298,0,0,59130,751608.620425921,CYP27B1;PLAU;CCL2
LRRK2 activemutant 159 GSE36321,10/300,6.69528976925832e-08,6.66181332041203e-06,0,0,11.6777645659929,192.908221584235,LDHB;CDKN1A;SPARC;ITGB5;FHL1;TPM1;ELMO1;SLC2A3;TFPI;TNS3,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,PLAU
LRRK2 mutant 33 GDS4401,10/300,6.69528976925832e-08,6.66181332041203e-06,0,0,11.6777645659929,192.908221584235,LDHB;CDKN1A;SPARC;ITGB5;FHL1;TPM1;ELMO1;SLC2A3;TFPI;TNS3,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,PLAU
Advanced Glycation End Products Pathway in Diabetic Microangiopathy,2/22,0.00251803209945536,0.0150562744091145,0,0,30.169696969697,180.543841637112,SERPINE1;ICAM1,1/22,0.003296484417552,0.0101910958013494,0,0,475.619047619048,2718.11467997229,PLAU
Proteins Involved in Diabetic Nephropathy,7/175,2.15363988639551e-06,0.000210609628872963,0,0,13.5,176.152740887707,ZEB2;TGFB1;SERPINE1;ELMO1;ILK;DKK1;ICAM1,1/175,0.0260220999459419,0.0279319788410569,0,0,56.9626436781609,207.845812845536,CCL2
Coagulation,6/138,7.45303612683167e-06,9.68894696488118e-05,0,0,14.5161290322581,171.390325279199,SPARC;SERPINE1;PECAM1;ADAM9;FURIN;CLU,1/138,0.0205583666198837,0.0297022864925554,0,0,72.4817518248175,281.554443438429,PLAU
Proteins with Altered Expression in Cancer Metastases,5/106,3.04035224521162e-05,0.00110212768888921,0,0,15.5830583058306,162.0786427943,PDGFRA;SPARC;TGFB1;CDH1;SERPINE1,1/106,0.0158165326939135,0.0188830033182437,0,0,94.7238095238095,392.791174820312,PLAU
Peripheral Tissue Microangiopathy,3/46,0.000513924827247618,0.00634205105965145,0,0,21.3477638640429,161.675871144317,TGFB1;SERPINE1;ICAM1,1/46,0.00688440344825683,0.0125855500538445,0,0,221.688888888889,1103.67742297314,PLAU
Microangiopathy in Diabetic Neuropathy,2/24,0.00299540116935464,0.0165460255069113,0,0,27.4242424242424,159.353417714256,TGFB1;ICAM1,1/24,0.00359580673873441,0.0101910958013494,0,0,434.217391304348,2443.76979314669,CCL2
Proplatelet Maturation,4/79,0.00015154759987734,0.00338067722803296,0,0,16.5475,145.528822076531,TGFB1;SERPINE1;MYL9;ICAM1,1/79,0.0118037291244742,0.0156935944041304,0,0,127.685897435897,566.841082547516,CCL2
Malaria,3/50,0.000657155534456632,0.0153005404064371,0,0,19.5270049099836,143.08588265054,TGFB1;PECAM1;ICAM1,1/51,0.00763080222089554,0.0177648263113934,0,0,199.47,972.528411753474,CCL2
Malaria,3/50,0.000657155534456632,0.0153005404064371,0,0,19.5270049099836,143.08588265054,TGFB1;PECAM1;ICAM1,1/50,0.00748155237341628,0.0361980438307643,0,0,203.551020408163,996.446357764973,CCL2
Interleukin-9 regulation of target genes,2/26,0.00351177582639185,0.0276013257933956,0,0,25.1363636363636,142.061513186742,SOCS2;LCN2,1/26,0.00389506923436901,0.0153069028079862,0,0,399.44,2216.11062530876,CCL2
Malaria,3/51,0.000696535896957325,0.0100660671560284,0,0,19.1192307692308,138.985168421018,TGFB1;PECAM1;ICAM1,1/51,0.00763080222089554,0.0177648263113934,0,0,199.47,972.528411753474,CCL2
Malaria,3/51,0.000696535896957325,0.0100660671560284,0,0,19.1192307692308,138.985168421018,TGFB1;PECAM1;ICAM1,1/50,0.00748155237341628,0.0361980438307643,0,0,203.551020408163,996.446357764973,CCL2
Oncostatin M,9/311,1.04353010710616e-06,9.35002975967118e-05,0,0,9.91525423728813,136.561817566098,LYN;CDKN1A;SERPINB1;CDH3;SERPINE1;TPM1;LCN2;STX11;ICAM1,2/311,0.000715644256726046,0.0098630004527614,0,0,127.430420711974,922.892822752706,PLAU;CCL2
TWEAK regulation of gene expression,2/27,0.00378442261491546,0.0292314022669332,0,0,24.129696969697,134.567988879069,SERPINE1;ICAM1,1/27,0.00404467804622706,0.0153069028079862,0,0,384.057692307692,2116.29358166937,CCL2
Hepatic Stellate Cells in non-Alcoholic Fatty Liver Disease,3/55,0.00086901337221399,0.00787543368568928,0,0,17.6449704142012,124.36443430474,PDGFRA;TGFB1;CDH1,2/55,2.22355362508991e-05,0.000433592956892532,0,0,752.603773584906,8063.26047108095,PLAU;CCL2
Beta2 integrin cell surface interactions Homo sapiens 95b6b434-618d-11e5-8ac5-06603eb7f303,2/29,0.00435830273978445,0.0361372769319662,0,0,22.3400673400673,121.433291414908,TGFBI;ICAM1,1/29,0.00434385079686094,0.00901093861824211,0,0,356.589285714286,1939.48700111416,PLAU
Integrin beta-2 pathway,2/29,0.00435830273978445,0.0308853381130779,0,0,22.3400673400673,121.433291414908,TGFBI;ICAM1,1/29,0.00434385079686094,0.0153069028079862,0,0,356.589285714286,1939.48700111416,PLAU
RAGE/AGER and S100 Proteins in Cardiovascular Injury,2/30,0.00465940411292557,0.0219711738658279,0,0,21.5411255411255,115.651453393229,SERPINE1;ICAM1,2/30,6.5187917475775e-06,0.000276095361914298,0,0,1426.35714285714,17031.8760580581,PLAU;CCL2
Complement and Coagulation Cascades WP558,3/58,0.00101467411963301,0.0106782371637569,0,0,16.68,114.978372211125,SERPINE1;TFPI;CLU,1/58,0.00867513250274921,0.0162768805132773,0,0,174.912280701754,830.360139497581,PLAU
Vascular Endothelial Cell Activation by NO,2/31,0.00496985892934845,0.0225196732736102,0,0,20.7972831765935,110.316356513446,SMPD1;SERPINE1,1/31,0.00464296371323848,0.0115580160521043,0,0,332.783333333333,1787.84597380293,PLAU
Proliferative Diabetic Retinopathy,3/60,0.00111985555442621,0.00914811579672115,0,0,16.0931174089069,109.345580549544,TGFB1;SERPINE1;MYL9,1/60,0.00897337803301339,0.0136348731150983,0,0,168.966101694915,796.42055134622,PLAU
Proteins Involved in Melanoma,7/238,1.61779513447141e-05,0.0007040352721794,0,0,9.78688524590164,107.967560306711,PDGFRA;CDKN1A;SPARC;CDH3;CDH1;ILK;IGF2BP3,1/238,0.0352783986095116,0.0365271914806448,0,0,41.6877637130802,139.424077066813,PLAU
ROS in Triggering Vascular Inflammation,2/32,0.00528960202485264,0.0234196120184315,0,0,20.1030303030303,105.38033146319,SMPD1;ICAM1,2/32,7.43243614212135e-06,0.000276095361914298,0,0,1331.13333333333,15720.2279199713,PLAU;CCL2
AGE-RAGE signaling pathway in diabetic complications,4/100,0.000374898293077499,0.0150896562963693,0,0,12.9140625,101.877176689907,SMAD2;TGFB1;SERPINE1;ICAM1,1/100,0.0149257388776811,0.0361980438307643,0,0,100.494949494949,422.54790984855,CCL2
Autocrine Cytokine/Chemokine Loops in Systemic Scleroderma,2/33,0.00561856855441298,0.024636171225348,0,0,19.4535679374389,100.802131872765,PDGFRA;TGFB1,1/33,0.0049420167963793,0.011679382505168,0,0,311.953125,1656.46540769326,CCL2
Inflammatory Response,6/200,6.06357389074282e-05,0.000337827688198528,0,0,9.84602593947456,95.6110763487818,LYN;CDKN1A;SERPINE1;ITGA5;CHST2;ICAM1,1/200,0.0297022864925554,0.0297022864925554,0,0,49.7437185929648,174.925340916176,CCL2
Beta-1 integrin cell surface interactions,3/66,0.00147589814034224,0.0152607443700437,0,0,14.556043956044,94.8834060906592,ITGA5;TGFBI;NID1,1/66,0.00986775589382722,0.017810096003493,0,0,153.323076923077,708.119996336647,PLAU
Beta1 integrin cell surface interactions Homo sapiens 2fd0bc63-618d-11e5-8ac5-06603eb7f303,3/66,0.00147589814034224,0.0191866758244491,0,0,14.556043956044,94.8834060906592,ITGA5;TGFBI;NID1,1/66,0.00986775589382722,0.0106268140395062,0,0,153.323076923077,708.119996336647,PLAU
Senescence and Autophagy in Cancer WP615,4/105,0.00045124422096662,0.00831041440280191,0,0,12.2716584158416,94.5347433718513,CDKN1A;SPARC;TGFB1;SERPINE1,1/105,0.0156681043562104,0.019941223726086,0,0,95.6394230769231,397.489703543101,PLAU
EGFR1 pathway,5/152,0.000168280327558863,0.00373486801442739,0,0,10.6818918043408,92.8243510386677,CDKN1A;ITGB5;CA2;COTL1;LCN2,1/152,0.0226281213168788,0.0279080162908172,0,0,65.7152317880795,248.966219469226,PLAU
p53 transcriptional gene network WP4963,3/67,0.00154134461264645,0.0131014292074948,0,0,14.3278846153846,92.7744873696917,CDKN1A;SERPINE1;ICAM1,1/67,0.0100167665600723,0.0162768805132773,0,0,150.992424242424,695.092860072288,CCL2
Skin Fibrosis,3/67,0.00154134461264645,0.0111747484416867,0,0,14.3278846153846,92.7744873696917,SMAD2;PDGFRA;TGFB1,1/67,0.0100167665600723,0.0144686628089933,0,0,150.992424242424,695.092860072288,CCL2
N2 Neutrophils in Tumor-Promoting Inflammation and Tumor Progression,2/35,0.00630391415851973,0.0268843397936871,0,0,18.2727272727273,92.5803175676888,SMAD2;TGFB1,1/35,0.00524101004609641,0.011679382505168,0,0,293.573529411765,1541.62536659043,CCL2
Proteins Involved in Myocarditis,6/207,7.33545359966991e-05,0.00202598242276597,0,0,9.49975926817525,90.4396672243805,SOCS2;TGFB1;SERPINE1;LCN2;CLU;ICAM1,2/207,0.000317635362063387,0.00247755582409442,0,0,193.092682926829,1555.28557770728,PLAU;CCL2
Cytokines Trigger Otitis Media,3/71,0.00182124609051164,0.0120036674147358,0,0,13.4823529411765,85.0498419026256,SMAD2;TGFB1;ICAM1,1/71,0.0106126597969387,0.0148130200357778,0,0,142.335714285714,647.016548147989,CCL2
Melanoma,3/71,0.00182124609051164,0.0173599627350896,0,0,13.4823529411765,85.0498419026256,PDGFRA;CDKN1A;CDH1,1/145,0.0215936087756324,0.0242928098725864,0,0,68.9340277777778,264.386667884871,PLAU
