Geneid	Br57_CTC__3
DDX11L1	0
WASH7P	2
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	20
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	1
RP5-857K21.5	0
MIR6723	1
OR4F16	0
LOC100133331	5
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	2
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	9
NOC2L	137
KLHL17	0
PLEKHN1	4
PERM1	13
HES4	55
ISG15	0
AGRN	42
LOC100288175	2
RNF223	9
C1orf159	19
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	152
B3GALT6	0
FAM132A	0
UBE2J2	149
LOC101928895	0
SCNN1D	0
ACAP3	20
MIR6726	0
PUSL1	84
CPSF3L	7
MIR6727	0
GLTPD1	0
TAS1R3	7
DVL1	0
MIR6808	0
MXRA8	0
AURKAIP1	65
CCNL2	158
LOC148413	8
MRPL20	91
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	4
ATAD3C	2
ATAD3B	25
ATAD3A	34
TMEM240	0
SSU72	309
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	0
SLC35E2B	14
MMP23A	0
CDK11A	24
SLC35E2	2
NADK	90
GNB1	181
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	0
LOC101929017	0
LOC100506504	0
C1orf86	19
SKI	0
MORN1	19
LOC100129534	0
RER1	143
PEX10	4
PLCH2	0
PANK4	100
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	49
MMEL1	30
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	3
MEGF6	0
MIR551A	0
TPRG1L	15
WRAP73	8
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	0
LRRC47	84
CEP104	3
DFFB	28
C1orf174	12
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	36
LOC102724450	0
RNF207	0
ICMT	72
LINC00337	36
HES3	0
GPR153	0
ACOT7	72
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	50
TAS1R1	0
ZBTB48	0
KLHL21	0
PHF13	0
THAP3	9
DNAJC11	27
LOC100505887	0
CAMTA1	12
LOC100129476	0
LOC101928836	0
VAMP3	191
PER3	0
UTS2	0
TNFRSF9	0
PARK7	248
ERRFI1	243
LOC102724539	0
SLC45A1	0
RERE	48
LOC102724552	0
ENO1	1985
MIR6728	15
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	40
MIR34A	0
LOC102724571	0
H6PD	2
SPSB1	0
LOC100506022	0
SLC25A33	0
TMEM201	0
PIK3CD	3
C1orf200	0
LOC101929074	0
CLSTN1	49
CTNNBIP1	0
LZIC	34
NMNAT1	0
MIR5697	0
LOC102724647	0
RBP7	0
UBE4B	52
KIF1B	25
MIR1273D	0
PGD	58
APITD1-CORT	0
APITD1	0
CORT	0
DFFA	9
PEX14	4
CASZ1	201
C1orf127	0
TARDBP	111
MASP2	0
SRM	16
EXOSC10	26
MTOR	0
MTOR-AS1	0
ANGPTL7	0
UBIAD1	0
PTCHD2	0
RP1-69M21.2	0
FBXO2	0
FBXO44	4
FBXO6	0
MAD2L2	0
DRAXIN	0
AGTRAP	43
C1orf167	0
LOC102724659	0
MTHFR	0
CLCN6	0
NPPA-AS1	0
NPPA	0
NPPB	0
RNU5E-1	0
KIAA2013	0
PLOD1	154
MFN2	171
MIIP	0
MIR6729	0
TNFRSF8	0
MIR7846	0
TNFRSF1B	0
MIR4632	0
VPS13D	2
SNORA59A	0
DHRS3	92
MIR6730	0
AADACL4	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
HNRNPCL1	2
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
PRAMEF6	0
LOC102724742	0
LOC101929983	0
LOC649330	0
PRAMEF25	0
HNRNPCP5	0
PRAMEF26	0
LOC101060301	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
