Geneid	Br57_CTC__4
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	56
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	2
OR4F16	0
LOC100133331	1
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	26
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	13
NOC2L	36
KLHL17	41
PLEKHN1	4
PERM1	25
HES4	118
ISG15	21
AGRN	47
LOC100288175	13
RNF223	2
C1orf159	52
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	119
B3GALT6	0
FAM132A	0
UBE2J2	219
LOC101928895	0
SCNN1D	14
ACAP3	39
MIR6726	0
PUSL1	12
CPSF3L	73
MIR6727	1
GLTPD1	10
TAS1R3	0
DVL1	10
MIR6808	0
MXRA8	0
AURKAIP1	102
CCNL2	489
LOC148413	23
MRPL20	153
ANKRD65	0
TMEM88B	0
LOC102724312	11
VWA1	17
ATAD3C	0
ATAD3B	6
ATAD3A	0
TMEM240	0
SSU72	114
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	16
SLC35E2B	44
MMP23A	0
CDK11A	1
SLC35E2	32
NADK	20
GNB1	116
CALML6	0
TMEM52	19
KIAA1751	0
GABRD	0
PRKCZ	0
LOC101929017	0
LOC100506504	0
C1orf86	11
SKI	5
MORN1	0
LOC100129534	0
RER1	264
PEX10	49
PLCH2	0
PANK4	64
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	54
MMEL1	14
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	23
MEGF6	55
MIR551A	0
TPRG1L	0
WRAP73	0
TP73	0
TP73-AS1	4
CCDC27	0
SMIM1	0
LRRC47	116
CEP104	71
DFFB	0
C1orf174	87
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	27
LOC102724450	0
RNF207	12
ICMT	191
LINC00337	44
HES3	0
GPR153	0
ACOT7	146
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	63
TAS1R1	24
ZBTB48	12
KLHL21	105
PHF13	157
THAP3	26
DNAJC11	64
LOC100505887	0
CAMTA1	0
LOC100129476	0
LOC101928836	0
VAMP3	187
PER3	0
UTS2	0
TNFRSF9	0
PARK7	402
ERRFI1	115
LOC102724539	0
SLC45A1	37
RERE	84
LOC102724552	0
ENO1	2408
MIR6728	16
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	5
MIR34A	5
LOC102724571	0
H6PD	128
SPSB1	16
LOC100506022	0
SLC25A33	30
TMEM201	43
PIK3CD	0
C1orf200	0
LOC101929074	0
CLSTN1	56
CTNNBIP1	10
LZIC	53
NMNAT1	8
MIR5697	0
