Geneid	Br16_5
DDX11L1	0
WASH7P	2
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	1
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	7
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	3
LINC01128	73
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	16
NOC2L	61
KLHL17	0
PLEKHN1	70
PERM1	31
HES4	79
ISG15	709
AGRN	85
LOC100288175	0
RNF223	0
C1orf159	21
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	85
TNFRSF4	0
SDF4	189
B3GALT6	18
FAM132A	0
UBE2J2	86
LOC101928895	0
SCNN1D	0
ACAP3	117
MIR6726	1
PUSL1	50
CPSF3L	0
MIR6727	0
GLTPD1	0
TAS1R3	0
DVL1	5
MIR6808	0
MXRA8	23
AURKAIP1	84
CCNL2	205
LOC148413	58
MRPL20	126
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	51
ATAD3C	0
ATAD3B	0
ATAD3A	40
TMEM240	0
SSU72	482
C1orf233	0
MIB2	1
MMP23B	0
CDK11B	69
SLC35E2B	1
MMP23A	0
CDK11A	62
SLC35E2	0
NADK	279
GNB1	223
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	65
LOC101929017	2
LOC100506504	0
C1orf86	95
SKI	9
MORN1	0
LOC100129534	1
RER1	207
PEX10	78
PLCH2	0
PANK4	0
HES5	0
LOC115110	0
LOC100133445	27
TNFRSF14	358
RP3-395M20.9	0
FAM213B	30
MMEL1	4
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	19
MEGF6	0
MIR551A	0
TPRG1L	0
WRAP73	0
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	0
LRRC47	64
CEP104	0
DFFB	0
C1orf174	97
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	154
LOC102724450	23
RNF207	83
ICMT	165
LINC00337	0
HES3	0
GPR153	1
ACOT7	36
HES2	21
ESPN	25
MIR4252	0
TNFRSF25	0
PLEKHG5	41
NOL9	28
TAS1R1	0
ZBTB48	0
KLHL21	0
PHF13	0
THAP3	11
DNAJC11	0
LOC100505887	0
CAMTA1	59
LOC100129476	0
LOC101928836	0
VAMP3	310
PER3	69
UTS2	0
TNFRSF9	0
PARK7	295
ERRFI1	196
LOC102724539	0
SLC45A1	0
RERE	170
LOC102724552	0
ENO1	1304
MIR6728	7
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	0
MIR34A	0
LOC102724571	0
H6PD	1
SPSB1	37
LOC100506022	0
SLC25A33	31
TMEM201	15
PIK3CD	155
C1orf200	0
LOC101929074	0
CLSTN1	15
CTNNBIP1	20
LZIC	32
NMNAT1	1
MIR5697	0
LOC102724647	0
RBP7	38
UBE4B	12
KIF1B	194
MIR1273D	0
PGD	336
APITD1-CORT	37
APITD1	37
CORT	0
DFFA	1
PEX14	16
CASZ1	97
C1orf127	0
TARDBP	347
MASP2	8
SRM	156
EXOSC10	186
MTOR	0
MTOR-AS1	0
ANGPTL7	0
UBIAD1	86
PTCHD2	0
RP1-69M21.2	0
FBXO2	0
FBXO44	20
FBXO6	24
MAD2L2	139
DRAXIN	0
AGTRAP	96
C1orf167	0
LOC102724659	0
MTHFR	0
CLCN6	92
NPPA-AS1	21
NPPA	0
NPPB	0
RNU5E-1	0
KIAA2013	6
PLOD1	31
MFN2	189
MIIP	153
MIR6729	0
TNFRSF8	0
MIR7846	1
TNFRSF1B	76
MIR4632	0
VPS13D	83
SNORA59A	0
DHRS3	70
MIR6730	0
AADACL4	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
HNRNPCL1	3
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
PRAMEF6	0
LOC102724742	0
LOC101929983	0
LOC649330	0
PRAMEF25	0
HNRNPCP5	0
PRAMEF26	0
LOC101060301	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF5	0
