Geneid	Br7_2
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	1
LOC729737	10
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	29
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	6
NOC2L	44
KLHL17	5
PLEKHN1	35
PERM1	4
HES4	15
ISG15	49
AGRN	28
LOC100288175	8
RNF223	5
C1orf159	2
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	79
B3GALT6	27
FAM132A	0
UBE2J2	0
LOC101928895	0
SCNN1D	0
ACAP3	21
MIR6726	1
PUSL1	5
CPSF3L	81
MIR6727	0
GLTPD1	0
TAS1R3	0
DVL1	0
MIR6808	0
MXRA8	0
AURKAIP1	33
CCNL2	155
LOC148413	10
MRPL20	36
ANKRD65	24
TMEM88B	0
LOC102724312	0
VWA1	17
ATAD3C	0
ATAD3B	37
ATAD3A	2
TMEM240	0
SSU72	119
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	48
SLC35E2B	3
MMP23A	0
CDK11A	10
SLC35E2	5
NADK	3
GNB1	113
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	10
PRKCZ	15
LOC101929017	0
LOC100506504	0
C1orf86	7
SKI	0
MORN1	0
LOC100129534	0
RER1	190
PEX10	0
PLCH2	0
PANK4	0
HES5	0
LOC115110	0
LOC100133445	11
TNFRSF14	83
RP3-395M20.9	0
FAM213B	37
MMEL1	7
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	0
MEGF6	79
MIR551A	0
TPRG1L	0
WRAP73	39
TP73	0
TP73-AS1	4
CCDC27	0
SMIM1	0
LRRC47	53
CEP104	58
DFFB	3
C1orf174	0
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	28
KCNAB2	5
CHD5	0
RPL22	32
LOC102724450	16
RNF207	110
ICMT	57
LINC00337	0
HES3	0
GPR153	0
ACOT7	7
HES2	22
ESPN	8
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	0
TAS1R1	0
ZBTB48	0
KLHL21	76
PHF13	49
THAP3	43
DNAJC11	119
LOC100505887	0
CAMTA1	24
LOC100129476	0
LOC101928836	0
VAMP3	70
PER3	0
UTS2	0
TNFRSF9	1
PARK7	161
ERRFI1	104
LOC102724539	0
SLC45A1	1
RERE	39
LOC102724552	0
ENO1	1667
MIR6728	8
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	0
MIR34A	0
LOC102724571	0
H6PD	29
SPSB1	0
LOC100506022	0
SLC25A33	0
TMEM201	29
PIK3CD	4
C1orf200	0
LOC101929074	0
CLSTN1	37
CTNNBIP1	8
LZIC	0
NMNAT1	0
MIR5697	0
LOC102724647	0
