Geneid	Br53_CTC_1
MRTO4	21
AKR7L	0
AKR7A3	33
LOC100506730	0
AKR7A2	89
PQLC2	34
CAPZB	20
LOC644083	0
MINOS1	36
MINOS1-NBL1	12
RPS14P3	10
NBL1	0
HTR6	0
TMCO4	0
RNF186	0
OTUD3	20
PLA2G2E	0
PLA2G2A	0
PLA2G5	0
PLA2G2D	0
PLA2G2F	0
PLA2G2C	0
UBXN10-AS1	0
UBXN10	46
VWA5B1	0
LINC01141	0
CAMK2N1	0
MUL1	121
FAM43B	0
CDA	0
PINK1	43
MIR6084	4
PINK1-AS	53
DDOST	623
KIF17	0
SH2D5	0
HP1BP3	73
EIF4G3	26
MIR1256	0
ECE1	46
RP5-1071N3.1	0
NBPF3	0
ALPL	0
RAP1GAP	0
USP48	139
LDLRAD2	0
HSPG2	22
LOC102723558	0
CELA3B	0
CELA3A	0
RP1-224A6.3	0
LINC00339	33
CDC42	476
WNT4	0
MIR4418	0
LOC101060363	0
ZBTB40	15
EPHA8	0
MIR6127	0
C1QA	0
C1QC	0
C1QB	0
EPHB2	0
MIR4684	0
MIR4253	0
LACTBL1	0
C1orf234	0
KDM1A	33
MIR3115	0
MIR4419A	0
LUZP1	53
HTR1D	0
RP5-1057J7.6	0
HNRNPR	176
ZNF436	80
C1orf213	0
TCEA3	44
ASAP3	19
E2F2	0
LOC101928163	0
ID3	120
MDS2	0
RPL11	587
TCEB3	77
RP5-886K2.3	5
PITHD1	1
LYPLA2	61
GALE	103
HMGCL	53
FUCA1	0
CNR2	0
MIR378F	0
PNRC2	31
SRSF10	97
MYOM3	0
IL22RA1	0
IFNLR1	0
RP11-10N16.2	0
GRHL3	0
STPG1	0
NIPAL3	0
RCAN3AS	0
RCAN3	32
LOC100506985	0
NCMAP	0
SRRM1	100
CLIC4	113
RUNX3	0
MIR6731	0
MIR4425	0
SYF2	98
C1orf63	17
RHD	0
LOC101928189	0
TMEM50A	263
RHCE	65
TMEM57	0
LDLRAP1	0
MAN1C1	0
SEPN1	0
LOC102723671	0
MTFR1L	78
LOC646471	21
AUNIP	18
PAQR7	2
STMN1	340
MIR3917	6
PAFAH2	0
EXTL1	0
LOC101928216	0
SLC30A2	0
TRIM63	0
PDIK1L	15
FAM110D	0
ZNF593	127
CNKSR1	87
CATSPER4	0
LOC101928303	0
CEP85	25
SH3BGRL3	572
UBXN11	0
CD52	0
AIM1L	0
ZNF683	0
LIN28A	0
DHDDS	16
RP3-476K8.3	0
HMGN2	28
RPS6KA1	0
MIR1976	0
LOC101928728	0
ARID1A	117
PIGV	80
ZDHHC18	0
SFN	14
GPN2	35
GPATCH3	0
NR0B2	0
NUDC	143
C1orf172	98
OSTCP2	0
TRNP1	0
FAM46B	0
LOC101928391	0
SLC9A1	51
LOC102723760	0
WDTC1	0
TMEM222	97
LOC644961	88
RNU6-48P	4
SYTL1	21
MAP3K6	0
FCN3	0
CD164L2	5
GPR3	0
WASF2	359
AHDC1	3
FGR	0
IFI6	0
FAM76A	0
STX12	36
PPP1R8	98
SCARNA1	0
THEMIS2	115
RPA2	0
SMPDL3B	18
XKR8	0
EYA3	24
PTAFR	0
DNAJC8	9
ATPIF1	149
SESN2	16
MED18	0
PHACTR4	35
SNHG3	27
RCC1	247
SNORA73A	0
RNU105A	0
TRNAU1AP	50
SNHG12	7
SNORD99	0
SNORA61	0
SNORA44	0
SNORA16A	0
RAB42	0
TAF12	45
RNU11	3
GMEB1	78
YTHDF2	285
OPRD1	0
EPB41	19
TMEM200B	2
SRSF4	96
MECR	19
PTPRU	0
RP3-437I16.1	0
RP11-111I12.1	0
MATN1	0
MATN1-AS1	0
LAPTM5	0
MIR4420	0
LOC400748	0
LOC102723832	0
SDC3	98
PUM1	247
SNORD103A	0
SNORD103B	0
SNORD85	0
LOC102723848	0
NKAIN1	0
SNRNP40	31
ZCCHC17	32
FABP3	44
SERINC2	874
RP11-439L8.3	0
RP11-439L8.4	0
TINAGL1	0
HCRTR1	3
PEF1	141
COL16A1	50
LOC101929444	3
BAI2	0
MIR4254	0
SPOCD1	0
PTP4A2	166
KHDRBS1	187
TMEM39B	0
MIR5585	0
KPNA6	68
TXLNA	101
CCDC28B	36
IQCC	55
DCDC2B	3
TMEM234	13
EIF3I	346
MTMR9LP	0
FAM167B	0
LCK	0
HDAC1	76
MARCKSL1	64
FAM229A	3
TSSK3	17
BSDC1	328
ZBTB8B	0
ZBTB8A	6
LOC102723870	0
ZBTB8OS	11
RBBP4	146
SYNC	36
KIAA1522	334
YARS	69
S100PBP	5
FNDC5	0
HPCA	2
TMEM54	10
RNF19B	0
AK2	70
ADC	0
TRIM62	0
ZNF362	0
A3GALT2	0
PHC2	0
MIR3605	0
ZSCAN20	33
CSMD2	0
HMGB4	0
RP5-1007G16.1	0
C1orf94	0
MIR552	0
GJB5	0
GJB4	0
GJB3	0
GJA4	0
SMIM12	121
DLGAP3	0
LOC653160	26
ZMYM6NB	40
ZMYM6	1
ZMYM1	0
SFPQ	120
ZMYM4	71
KIAA0319L	87
NCDN	8
TFAP2E	0
PSMB2	302
C1orf216	0
CLSPN	0
AGO4	25
AGO1	69
AGO3	0
TEKT2	0
ADPRHL2	100
COL8A2	0
TRAPPC3	129
MAP7D1	3
THRAP3	143
SH3D21	0
EVA1B	18
STK40	54
LSM10	38
OSCP1	0
MRPS15	49
CSF3R	0
GRIK3	11
MIR4255	0
LINC01137	13
ZC3H12A	193
MIR6732	1
MEAF6	260
MIR5581	0
SNIP1	44
DNALI1	148
GNL2	6
RSPO1	0
C1orf109	0
CDCA8	0
EPHA10	0
MANEAL	0
YRDC	36
C1orf122	20
MTF1	93
INPP5B	0
SF3A3	48
FHL3	0
UTP11L	10
POU3F1	0
MIR3659	0
RP11-214L19.1	0
RRAGC	1
GJA9-MYCBP	97
MYCBP	99
GJA9	0
RHBDL2	12
AKIRIN1	160
NDUFS5	154
MACF1	347
KIAA0754	43
BMP8A	40
PPIEL	36
PABPC4	1
SNORA55	0
HEYL	0
NT5C1A	0
HPCAL4	0
PPIE	13
BMP8B	0
OXCT2	0
LOC101929536	0
TRIT1	3
MYCL	7
MFSD2A	0
CAP1	229
PPT1	317
RLF	13
TMCO2	0
ZMPSTE24	208
COL9A2	0
SMAP2	0
ZFP69B	0
ZFP69	71
EXO5	23
ZNF684	5
RIMS3	0
NFYC-AS1	9
NFYC	166
MIR30E	0
MIR30C1	0
KCNQ4	0
CITED4	10
CTPS1	0
SLFNL1-AS1	4
SLFNL1	0
SCMH1	35
LOC102723924	0
FOXO6	0
LOC101929901	0
EDN2	0
HIVEP3	52
GUCA2B	0
GUCA2A	0
FOXJ3	56
RIMKLA	0
ZMYND12	0
PPCS	122
CCDC30	0
PPIH	29
YBX1	17
CLDN19	0
LEPRE1	0
C1orf50	8
LOC100129924	0
CCDC23	18
ERMAP	27
ZNF691	24
LOC339539	1
SLC2A1	26
SLC2A1-AS1	0
FAM183A	0
EBNA1BP2	16
MIR6733	0
WDR65	0
TMEM125	43
C1orf210	25
TIE1	0
MPL	0
CDC20	0
ELOVL1	328
MIR6734	0
MED8	123
SZT2	108
MIR6735	0
HYI	34
PTPRF	193
KDM4A	29
KDM4A-AS1	10
ST3GAL3	11
RP11-184I16.4	0
MIR6079	0
ARTN	0
LOC101929609	0
IPO13	48
DPH2	0
ATP6V0B	303
B4GALT2	1
CCDC24	31
SLC6A9	1
KLF17	0
DMAP1	95
ERI3	0
ERI3-IT1	0
RNF220	31
MIR5584	0
LOC102723990	3
TMEM53	88
C1orf228	0
RNU5F-1	2
RNU5D-1	0
KIF2C	0
RPS8	233
SNORD55	0
SNORD46	0
SNORD38A	0
SNORD38B	0
BEST4	0
PLK3	101
TCTEX1D4	29
BTBD19	0
PTCH2	0
EIF2B3	0
HECTD3	128
UROD	87
ZSWIM5	0
LINC01144	0
HPDL	0
MUTYH	1
TOE1	6
TESK2	57
CCDC163P	0
MMACHC	5
PRDX1	1050
AKR1A1	39
NASP	57
CCDC17	13
GPBP1L1	134
RPS15AP10	0
TMEM69	17
IPP	1
MAST2	50
PIK3R3	196
RP4-533D7.5	0
TSPAN1	356
LOC102724021	0
POMGNT1	46
LURAP1	0
RAD54L	0
LOC102724045	0
LOC102724033	0
LRRC41	166
UQCRH	49
NSUN4	5
FAAH	95
LOC729041	0
RP5-1109J22.2	0
DMBX1	0
MKNK1-AS1	4
KNCN	0
MKNK1	44
LOC101929673	0
MOB3C	0
ATPAF1	19
TEX38	0
EFCAB14-AS1	3
EFCAB14	146
CYP4B1	31
CYP4Z2P	3
CYP4A11	0
CYP4X1	0
CYP4Z1	0
CYP4A22	0
LINC00853	0
PDZK1IP1	77
TAL1	0
STIL	0
CMPK1	132
LOC102724077	0
FOXE3	0
FOXD2-AS1	0
FOXD2	0
TRABD2B	0
SKINTL	0
SLC5A9	0
SPATA6	0
LOC102724088	0
AGBL4	0
BEND5	2
AGBL4-IT1	0
ELAVL4	0
DMRTA2	0
FAF1	1
CDKN2C	0
C1orf185	0
MIR4421	0
MIR6500	0
RNF11	16
TTC39A	59
LOC102724097	0
EPS15	5
OSBPL9	43
NRD1	151
MIR761	0
RAB3B	2
TXNDC12	38
KTI12	22
BTF3L4	73
ZFYVE9	0
CC2D1B	81
ORC1	0
PRPF38A	0
ZCCHC11	32
GPX7	0
FAM159A	0
COA7	5
ZYG11B	55
ZYG11A	12
ECHDC2	60
SCP2	95
MIR1273F	0
MIR5095	0
MIR1273G	0
PODN	0
SLC1A7	0
LOC102724114	0
CPT2	2
C1orf123	0
MAGOH	10
RP5-1024G6.5	0
LRP8	0
LOC102724125	0
SLC25A3P1	0
DMRTB1	0
GLIS1	0
NDC1	29
YIPF1	209
DIO1	92
HSPB11	3
LRRC42	60
LDLRAD1	0
TMEM59	495
TCEANC2	0
MIR4781	0
CDCP2	0
CYB5RL	0
MRPL37	142
SSBP3	5
SSBP3-AS1	0
ACOT11	0
FAM151A	0
MROH7	0
MROH7-TTC4	38
TTC4	40
PARS2	37
TTC22	0
C1orf177	0
DHCR24	707
TRNAK-CUU	0
TMEM61	0
BSND	0
PCSK9	0
USP24	105
LOC100507634	0
MIR4422	0
LOC102724140	0
PPAP2B	64
PRKAA2	1
LOC102724154	0
C1orf168	0
LOC101929757	0
C8A	0
C8B	0
DAB1	0
DAB1-AS1	0
OMA1	34
TACSTD2	3212
MYSM1	23
JUN	1419
LINC01135	0
LOC101926907	17
RP4-794H19.4	0
HSD52	0
FGGY	14
MIR4711	0
RP4-782L23.1	0
HOOK1	8
CYP2J2	0
C1orf87	0
RP11-436K8.1	0
LOC100996570	0
NFIA	7
LOC102724281	1
RP5-833A20.1	0
MGC34796	0
TM2D1	22
INADL	187
MIR3116-1	0
MIR3116-2	0
L1TD1	0
KANK4	0
USP1	40
DOCK7	73
ANGPTL3	4
RP11-230B22.1	0
ATG4C	0
LINC00466	0
LOC100996301	0
FOXD3	0
MIR6068	0
ALG6	0
ITGB3BP	2
LOC102724319	0
EFCAB7	0
DLEU2L	2
PGM1	14
ROR1	0
RP11-24J23.2	0
UBE2U	0
CACHD1	0
LOC101927065	0
MIR4794	0
RAVER2	0
JAK1	183
RP11-182I10.3	0
MIR3671	0
MIR101-1	0
AK4	0
DNAJC6	0
LOC102724416	0
LEPROT	120
LEPR	14
PDE4B	0
RP11-397C12.1	0
SGIP1	0
MIR3117	0
TCTEX1D1	0
INSL5	0
WDR78	3
MIER1	44
SLC35D1	0
C1orf141	0
IL23R	0
IL12RB2	0
SERBP1	57
LOC102724481	0
GADD45A	0
GNG12	178
GNG12-AS1	0
DIRAS3	0
WLS	69
LOC101929986	0
MIR1262	0
RPE65	0
DEPDC1	0
RP4-694A7.4	0
LRRC7	0
PIN1P1	0
LRRC40	28
SRSF11	100
ANKRD13C	45
HHLA3	33
LOC102724548	0
CTH	0
RP5-952N6.1	0
LOC102724572	0
PTGER3	31
ZRANB2-AS1	16
ZRANB2	73
MIR186	0
ZRANB2-AS2	0
NEGR1	0
NEGR1-IT1	0
RP11-262K1.1	0
RP4-598G3.1	0
LRRIQ3	0
FPGT-TNNI3K	0
FPGT	5
TNNI3K	0
C1orf173	0
LOC101927320	0
CRYZ	2
TYW3	6
LHX8	0
SLC44A5	1
ACADM	132
RABGGTB	71
SNORD45C	0
SNORD45A	0
SNORD45B	0
MSH4	0
ASB17	0
RP11-550H2.1	0
ST6GALNAC3	0
ST6GALNAC5	0
MIR7156	0
PIGK	0
AK5	0
ZZZ3	32
USP33	143
FAM73A	36
NEXN-AS1	0
NEXN	3
FUBP1	237
DNAJB4	0
GIPC2	0
MGC27382	0
PTGFR	0
IFI44L	0
IFI44	0
ELTD1	0
RP5-887A10.1	0
LOC101927458	0
LPHN2	0
RP11-170N11.1	0
LOC101927542	0
RP11-475O6.1	0
RP11-475O6.1-2	0
TTLL7	19
PRKACB	248
LOC101927611	0
LOC101927633	0
SAMD13	0
UOX	0
DNASE2B	0
LOC101927656	0
RPF1	11
GNG5	226
SPATA1	0
CTBS	0
LOC101927773	0
C1orf180	0
SSX2IP	13
LOC102724892	0
LPAR3	0
MCOLN2	0
MCOLN3	0
WDR63	0
MIR4423	0
SYDE2	0
C1orf52	11
BCL10	95
LOC646626	4
DDAH1	67
LOC101930232	0
CYR61	151
ZNHIT6	27
COL24A1	0
ODF2L	23
MIR7856	0
CLCA2	0
CLCA1	0
CLCA4	0
CLCA3P	0
SH3GLB1	141
SEP15	217
HS2ST1	23
LINC01140	0
LOC101927844	0
LMO4	0
RP4-544H6.2	0
LOC101927871	0
RP11-76N22.2	0
PKN2	67
GTF2B	22
CCBL2	1
RBMXL1	94
GBP3	57
GBP1	92
GBP2	83
GBP7	0
GBP4	0
GBP5	0
LOC729930	0
GBP6	0
GBP1P1	0
LRRC8B	0
FLJ27354	0
LRRC8C	0
LOC102723361	0
LOC101927952	0
LOC101927933	0
LOC101927975	0
LRRC8D	35
GEMIN8P4	0
ZNF326	11
BARHL2	0
LOC149351	0
ZNF644	307
LOC102723410	14
HFM1	0
CDC7	0
LOC102723436	0
TGFBR3	108
BRDT	0
EPHX4	0
SETSIP	2
BTBD8	0
KIAA1107	0
C1orf146	0
GLMN	0
RPAP2	21
GFI1	0
EVI5	0
RPL5	481
FAM69A	15
SNORD21	0
SNORA66	0
MTF2	20
TMED5	31
CCDC18	0
LOC100131564	2
DR1	53
FNBP1L	97
TRNAC-GCA	0
BCAR3	0
RP5-1033H22.2	0
LOC102723480	0
MIR760	0
TRNAR15	0
DNTTIP2	122
GCLM	54
ABCA4	0
ARHGAP29	0
LOC100505940	0
ABCD3	111
F3	15
LOC102723542	0
LINC01057	0
MIR378G	0
SLC44A3	0
CNN3	584
RP4-639F20.1	0
ALG14	55
LOC101928098	0
TMEM56	0
TMEM56-RWDD3	7
RP11-57H12.3	0
RWDD3	10
LOC100996630	0
LOC101928169	0
FLJ31662	0
RP11-286B14.1	0
LOC101928219	0
LOC102723661	0
RP5-898J17.1	0
PTBP2	6
DPYD	0
DPYD-AS1	0
DPYD-AS2	0
LOC102723700	0
MIR137HG	0
MIR2682	0
MIR137	0
RP5-1070A16.1	0
SNX7	0
LPPR5	0
RP5-896L10.1	0
LPPR4	0
RP11-413P11.1	0
PALMD	0
FRRS1	16
AGL	8
LOC101930120	0
SLC35A3	77
HIAT1	74
SASS6	0
TRMT13	39
LRRC39	5
DBT	12
RP11-305E17.6	0
RTCA	22
MIR553	0
CDC14A	0
GPR88	0
RP11-84O12.4	0
VCAM1	0
EXTL2	6
SLC30A7	8
DPH5	0
LOC102606465	35
LOC101928334	0
LOC101928370	0
S1PR1	0
LOC102723784	0
OLFM3	0
DNAJA1P5	0
COL11A1	0
LOC101928436	0
RNPC3	0
AMY2B	1
ACTG1P4	0
AMY2A	0
AMY1A	0
AMY1B	0
AMY1C	0
LOC100129138	0
RP11-251P6.1	0
PRMT6	0
NTNG1	0
LOC102724829	0
VAV3	109
MIR7852	0
VAV3-AS1	0
SLC25A24	31
NBPF4	1
LOC400768	0
NBPF6	0
FAM102B	0
HENMT1	0
PRPF38B	70
FNDC7	0
STXBP3	46
AKNAD1	0
SPATA42	0
GPSM2	0
CLCC1	0
WDR47	0
TAF13	0
TMEM167B	0
SCARNA2	0
C1orf194	0
KIAA1324	225
SARS	129
CELSR2	23
PSRC1	0
MYBPHL	0
SORT1	65
PSMA5	129
SYPL2	0
ATXN7L2	0
CYB561D1	31
AMIGO1	0
GPR61	0
LOC101928560	0
GNAI3	163
MIR197	0
GNAT2	3
AMPD2	0
GSTM4	16
GSTM2	0
GSTM1	0
GSTM5	0
GSTM3	0
EPS8L3	0
CSF1	0
AHCYL1	43
STRIP1	57
ALX3	8
UBL4B	0
SLC6A17	0
KCNC4-AS1	0
KCNC4	0
RP5-1074L1.1	0
RBM15	47
SLC16A4	0
LAMTOR5	139
LAMTOR5-AS1	0
PROK1	0
CYMP	0
LOC440602	0
KCNA10	0
KCNA2	0
KCNA3	0
CD53	0
LRIF1	0
DRAM2	80
CEPT1	3
DENND2D	152
CHI3L2	31
CHIAP2	0
CHIA	0
PIFO	0
PGCP1	0
OVGP1	2
WDR77	0
ATP5F1	131
C1orf162	0
ADORA3	0
LINC01160	0
RAP1A	35
FAM212B	0
FAM212B-AS1	0
LOC101928718	0
DDX20	0
KCND3	0
KCND3-IT1	0
LOC643355	0
LOC101928754	0
CTTNBP2NL	0
MIR4256	0
WNT2B	0
ST7L	0
CAPZA1	75
MOV10	41
RHOC	347
PPM1J	30
FAM19A3	0
LOC128322	5
RP11-426L16.8	0
SLC16A1	62
AKR7A2P1	3
SLC16A1-AS1	0
LOC101930375	0
RP11-31F15.2	0
LRIG2	0
LOC102723919	0
LOC643441	0
MAGI3	21
PHTF1	29
RSBN1	1
PTPN22	0
RP5-1073O3.2	0
AP4B1-AS1	0
BCL2L15	0
AP4B1	0
DCLRE1B	0
RP5-1073O3.7	0
HIPK1	38
OLFML3	0
SYT6	0
TRIM33	9
LOC101928890	0
BCAS2	2
DENND2C	0
AMPD1	0
NRAS	65
CSDE1	199
SIKE1	28
SYCP1	0
TSHB	0
TSPAN2	0
NGF	0
VANGL1	49
CASQ2	0
NHLH2	0
LOC101928977	0
SLC22A15	0
MAB21L3	0
ATP1A1	60
ATP1A1OS	9
RP4-655J12.4	0
CD58	0
MIR548AC	0
IGSF3	35
MIR320B1	0
C1orf137	0
CD2	0
PTGFRN	0
CD101	0
RP11-27K13.3	0
TTF2	9
MIR942	0
TRIM45	0
VTCN1	0
MAN1A2	5
FAM46C	0
GDAP2	8
WDR3	6
SPAG17	0
TBX15	0
WARS2	12
RP11-418J17.1	8
HAO2	0
HAO2-IT1	0
HSD3B2	0
HSD3B1	0
HSD3BP4	0
LINC00622	0
ZNF697	0
PHGDH	0
HMGCS2	0
REG4	0
NBPF7	0
ADAM30	0
NOTCH2	215
LOC101929178	0
SEC22B	1
LOC100996723	0
LOC101929786	0
LOC101929788	0
NBPF8	1
PFN1P2	0
LOC102724372	0
LOC100996724	0
LOC101929792	0
LOC101929796	13
LOC102724282	0
NBPF26	8
TRNAN5	0
RNVU1-19	0
PPIAL4B	0
LINC00623	0
RNVU1-4	0
TRNAN22	0
LINC00623-2	0
LOC100996721	0
TRNAG-CCC-2	0
TRNAV-CAC	0
LOC101929798	0
TRNAN-GUU-2	0
FCGR1B	0
LOC100996318	0
HIST2H2BA	0
FAM72B	3
LOC102724451	0
SRGAP2C	7
SRGAP2-AS1	0
EMBP1	0
LOC101929814	0
LOC100996735	0
LOC101929815	0
LOC101927452	0
NBPF23P	0
TRNAQ20	0
RNVU1-17	0
RNVU1-18	0
LOC101929561	0
TRNAN3	0
LOC388692	0
TRNAV16	0
TRNAV25	0
RP11-353N4.5	0
TRNAN29	0
FCGR1C	0
LOC100996713	0
FAM72C	0
SRGAP2D	0
LOC102724504	0
LOC101929803	0
LOC100996732	0
LOC101927333	0
PPIAL4E	0
RNVU1-15	0
TRNAN27	0
NBPF15	11
TRNAN15	0
PPIAL4F	0
LOC101929826	0
LOC101927429	0
RP11-14N7.2	0
SRGAP2B	0
LOC102724255	0
FAM72D	0
TRNAN-GUU-3	0
LOC101929805	0
TRNAV-CAC-2	0
TRNAV-CAC-3	0
LOC102724235	0
LOC100996741	0
LOC100996740	0
PPIAL4D	0
RNVU1-14	0
TRNAN1	0
NBPF20	18
TRNAQ-CUG	0
TRNAN-GUU-4	0
LOC102724173	0
LOC101060254	0
NBPF25P	0
GPR89A	1
PDZK1	0
CD160	0
RNF115	191
POLR3C	302
NUDT17	10
PIAS3	181
MIR6736	0
ANKRD35	0
ITGA10	0
PEX11B	71
GNRHR2	20
RBM8A	164
LIX1L	0
POLR3GL	37
ANKRD34A	0
TXNIP	1106
HFE2	0
TRNAE21	0
TRNAG11	0
TRNAH4	0
TRNAK20	0
RNVU1-6	1
RP11-458D21.1	0
NBPF10	0
NOTCH2NL	6
NUDT4P2	0
LOC102724364	0
TRNAN-GUU-5	0
LOC100996756	0
LOC102724558	0
LOC102724573	0
HYDIN2	0
NBPF12	4
LOC101929781	0
LOC728989	0
TRNAH10	0
NBPF13P	0
PRKAB2	17
CHD1L	58
PDIA3P1	185
FMO5	37
LINC00624	0
BCL9	90
ACP6	18
LOC102723321	0
GJA5	0
GJA8	0
GPR89B	7
TRNAQ13	0
RNVU1-7	0
TRNAN19	0
NBPF11	8
LOC100505824	0
LOC101929257	0
RP4-565E6.1	0
TRNAQ8	0
