Geneid	Br7_1_SG
MRTO4	17
AKR7L	0
AKR7A3	18
LOC100506730	0
AKR7A2	87
PQLC2	0
CAPZB	163
LOC644083	0
MINOS1	113
MINOS1-NBL1	37
RPS14P3	21
NBL1	17
HTR6	0
TMCO4	2
RNF186	0
OTUD3	74
PLA2G2E	0
PLA2G2A	0
PLA2G5	0
PLA2G2D	0
PLA2G2F	0
PLA2G2C	0
UBXN10-AS1	0
UBXN10	31
VWA5B1	0
LINC01141	0
CAMK2N1	14
MUL1	52
FAM43B	0
CDA	57
PINK1	26
MIR6084	0
PINK1-AS	43
DDOST	297
KIF17	0
SH2D5	0
HP1BP3	178
EIF4G3	142
MIR1256	0
ECE1	368
RP5-1071N3.1	0
NBPF3	0
ALPL	0
RAP1GAP	6
USP48	37
LDLRAD2	0
HSPG2	85
LOC102723558	5
CELA3B	0
CELA3A	0
RP1-224A6.3	5
LINC00339	1
CDC42	531
WNT4	36
MIR4418	0
LOC101060363	0
ZBTB40	2
EPHA8	18
MIR6127	0
C1QA	0
C1QC	0
C1QB	0
EPHB2	0
MIR4684	0
MIR4253	0
LACTBL1	0
C1orf234	0
KDM1A	29
MIR3115	0
MIR4419A	0
LUZP1	19
HTR1D	0
RP5-1057J7.6	0
HNRNPR	195
ZNF436	49
C1orf213	0
TCEA3	23
ASAP3	164
E2F2	0
LOC101928163	0
ID3	21
MDS2	0
RPL11	660
TCEB3	64
RP5-886K2.3	1
PITHD1	0
LYPLA2	21
GALE	0
HMGCL	1
FUCA1	0
CNR2	0
MIR378F	0
PNRC2	79
SRSF10	145
MYOM3	0
IL22RA1	0
IFNLR1	10
RP11-10N16.2	0
GRHL3	0
STPG1	0
NIPAL3	18
RCAN3AS	0
RCAN3	29
LOC100506985	0
NCMAP	0
SRRM1	59
CLIC4	164
RUNX3	23
MIR6731	0
MIR4425	0
SYF2	79
C1orf63	87
RHD	0
LOC101928189	0
TMEM50A	228
RHCE	23
TMEM57	23
LDLRAP1	42
MAN1C1	10
SEPN1	19
LOC102723671	8
MTFR1L	54
LOC646471	4
AUNIP	7
PAQR7	79
STMN1	0
MIR3917	0
PAFAH2	27
EXTL1	0
LOC101928216	0
SLC30A2	0
TRIM63	0
PDIK1L	0
FAM110D	0
ZNF593	48
CNKSR1	46
CATSPER4	0
LOC101928303	0
CEP85	0
SH3BGRL3	1130
UBXN11	212
CD52	608
AIM1L	0
ZNF683	0
LIN28A	0
DHDDS	22
RP3-476K8.3	0
HMGN2	65
RPS6KA1	117
MIR1976	0
LOC101928728	0
ARID1A	101
PIGV	0
ZDHHC18	0
SFN	41
GPN2	0
GPATCH3	83
NR0B2	0
NUDC	84
C1orf172	45
OSTCP2	0
TRNP1	0
FAM46B	0
LOC101928391	0
SLC9A1	8
LOC102723760	0
WDTC1	24
TMEM222	0
LOC644961	21
RNU6-48P	0
SYTL1	102
MAP3K6	7
FCN3	0
CD164L2	0
GPR3	0
WASF2	115
AHDC1	2
FGR	193
IFI6	201
FAM76A	22
STX12	33
PPP1R8	65
SCARNA1	0
THEMIS2	74
RPA2	76
SMPDL3B	45
XKR8	0
EYA3	61
PTAFR	213
DNAJC8	97
ATPIF1	83
SESN2	0
MED18	0
PHACTR4	1
SNHG3	88
RCC1	173
SNORA73A	0
RNU105A	0
TRNAU1AP	42
SNHG12	6
SNORD99	0
SNORA61	0
SNORA44	2
SNORA16A	0
RAB42	0
TAF12	32
RNU11	3
GMEB1	0
YTHDF2	44
OPRD1	0
EPB41	23
TMEM200B	0
SRSF4	78
MECR	0
PTPRU	1
RP3-437I16.1	0
RP11-111I12.1	0
MATN1	0
MATN1-AS1	0
LAPTM5	1201
MIR4420	0
LOC400748	0
LOC102723832	0
SDC3	34
PUM1	122
SNORD103A	0
SNORD103B	0
SNORD85	0
LOC102723848	0
NKAIN1	37
SNRNP40	14
ZCCHC17	16
FABP3	0
SERINC2	73
RP11-439L8.3	0
RP11-439L8.4	0
TINAGL1	8
HCRTR1	0
PEF1	131
COL16A1	0
LOC101929444	0
BAI2	66
MIR4254	0
SPOCD1	0
PTP4A2	502
KHDRBS1	18
TMEM39B	54
MIR5585	0
KPNA6	27
TXLNA	304
CCDC28B	3
IQCC	0
DCDC2B	0
TMEM234	0
EIF3I	245
MTMR9LP	1
FAM167B	0
LCK	0
HDAC1	83
MARCKSL1	95
FAM229A	0
TSSK3	0
BSDC1	103
ZBTB8B	0
ZBTB8A	2
LOC102723870	1
ZBTB8OS	39
RBBP4	122
SYNC	43
KIAA1522	76
YARS	97
S100PBP	45
FNDC5	0
HPCA	0
TMEM54	0
RNF19B	56
AK2	21
ADC	0
TRIM62	0
ZNF362	9
A3GALT2	0
PHC2	47
MIR3605	0
ZSCAN20	58
CSMD2	6
HMGB4	0
RP5-1007G16.1	0
C1orf94	0
MIR552	0
GJB5	0
GJB4	0
GJB3	0
GJA4	0
SMIM12	8
DLGAP3	3
LOC653160	0
ZMYM6NB	15
ZMYM6	3
ZMYM1	0
SFPQ	156
ZMYM4	97
KIAA0319L	3
NCDN	40
TFAP2E	3
PSMB2	207
C1orf216	49
CLSPN	0
AGO4	48
AGO1	91
AGO3	25
TEKT2	23
ADPRHL2	37
COL8A2	0
TRAPPC3	51
MAP7D1	80
THRAP3	60
SH3D21	4
EVA1B	0
STK40	38
LSM10	38
OSCP1	5
MRPS15	64
CSF3R	423
GRIK3	0
MIR4255	0
LINC01137	0
ZC3H12A	269
MIR6732	0
MEAF6	135
MIR5581	0
SNIP1	26
DNALI1	1
GNL2	55
RSPO1	0
C1orf109	0
CDCA8	0
EPHA10	0
MANEAL	36
YRDC	6
C1orf122	33
MTF1	29
INPP5B	12
SF3A3	83
FHL3	62
UTP11L	1
POU3F1	0
MIR3659	0
RP11-214L19.1	0
RRAGC	8
GJA9-MYCBP	116
MYCBP	118
GJA9	0
RHBDL2	1
AKIRIN1	181
NDUFS5	152
MACF1	250
KIAA0754	7
BMP8A	12
PPIEL	0
PABPC4	103
SNORA55	0
HEYL	0
NT5C1A	0
HPCAL4	0
PPIE	42
BMP8B	48
OXCT2	0
LOC101929536	0
TRIT1	0
MYCL	36
MFSD2A	7
CAP1	433
PPT1	798
RLF	66
TMCO2	0
ZMPSTE24	219
COL9A2	50
SMAP2	32
ZFP69B	0
ZFP69	0
EXO5	0
ZNF684	0
RIMS3	0
NFYC-AS1	0
NFYC	8
MIR30E	0
MIR30C1	0
KCNQ4	0
CITED4	0
CTPS1	1
SLFNL1-AS1	8
SLFNL1	0
SCMH1	42
LOC102723924	0
FOXO6	0
LOC101929901	0
EDN2	0
HIVEP3	79
GUCA2B	0
GUCA2A	0
FOXJ3	112
RIMKLA	65
ZMYND12	0
PPCS	16
CCDC30	0
PPIH	0
YBX1	40
CLDN19	0
LEPRE1	0
C1orf50	16
LOC100129924	0
CCDC23	11
ERMAP	2
ZNF691	0
LOC339539	2
SLC2A1	0
SLC2A1-AS1	0
FAM183A	0
EBNA1BP2	77
MIR6733	1
WDR65	1
TMEM125	37
C1orf210	19
TIE1	0
MPL	0
CDC20	0
ELOVL1	401
MIR6734	0
MED8	81
SZT2	0
MIR6735	0
HYI	0
PTPRF	79
KDM4A	0
KDM4A-AS1	0
ST3GAL3	0
RP11-184I16.4	0
MIR6079	0
ARTN	0
LOC101929609	0
IPO13	0
DPH2	44
ATP6V0B	562
B4GALT2	0
CCDC24	19
SLC6A9	18
KLF17	0
DMAP1	0
ERI3	74
ERI3-IT1	0
RNF220	20
MIR5584	0
LOC102723990	0
TMEM53	0
C1orf228	39
RNU5F-1	4
RNU5D-1	3
KIF2C	0
RPS8	473
SNORD55	0
SNORD46	0
SNORD38A	3
SNORD38B	6
BEST4	0
PLK3	379
TCTEX1D4	12
BTBD19	10
PTCH2	8
EIF2B3	5
HECTD3	0
UROD	20
ZSWIM5	0
LINC01144	0
HPDL	0
MUTYH	0
TOE1	0
TESK2	2
CCDC163P	0
MMACHC	32
PRDX1	402
AKR1A1	112
NASP	115
CCDC17	0
GPBP1L1	20
RPS15AP10	0
TMEM69	36
IPP	4
MAST2	136
PIK3R3	55
RP4-533D7.5	0
TSPAN1	334
LOC102724021	7
POMGNT1	0
LURAP1	0
RAD54L	4
LOC102724045	0
LOC102724033	0
LRRC41	128
UQCRH	229
NSUN4	42
FAAH	70
LOC729041	0
RP5-1109J22.2	0
DMBX1	0
MKNK1-AS1	0
KNCN	0
MKNK1	10
LOC101929673	0
MOB3C	0
ATPAF1	27
TEX38	10
EFCAB14-AS1	0
EFCAB14	68
CYP4B1	0
CYP4Z2P	0
CYP4A11	0
CYP4X1	6
CYP4Z1	0
CYP4A22	0
LINC00853	0
PDZK1IP1	15
TAL1	1
STIL	24
CMPK1	74
LOC102724077	0
FOXE3	0
FOXD2-AS1	0
FOXD2	0
TRABD2B	0
SKINTL	0
SLC5A9	0
SPATA6	2
LOC102724088	0
AGBL4	0
BEND5	1
AGBL4-IT1	1
ELAVL4	6
DMRTA2	0
FAF1	1
CDKN2C	0
C1orf185	0
MIR4421	0
MIR6500	0
RNF11	59
TTC39A	61
LOC102724097	1
EPS15	14
OSBPL9	15
NRD1	102
MIR761	0
RAB3B	33
TXNDC12	37
KTI12	0
BTF3L4	26
ZFYVE9	0
CC2D1B	2
ORC1	0
PRPF38A	42
ZCCHC11	7
GPX7	0
FAM159A	0
COA7	0
ZYG11B	1
ZYG11A	0
ECHDC2	34
SCP2	219
MIR1273F	0
MIR5095	0
MIR1273G	0
PODN	0
SLC1A7	0
LOC102724114	0
CPT2	2
C1orf123	0
MAGOH	5
RP5-1024G6.5	0
LRP8	0
LOC102724125	0
SLC25A3P1	0
DMRTB1	0
GLIS1	3
NDC1	39
YIPF1	14
DIO1	0
HSPB11	42
LRRC42	2
LDLRAD1	0
TMEM59	533
TCEANC2	0
MIR4781	0
CDCP2	0
CYB5RL	0
MRPL37	178
SSBP3	1
SSBP3-AS1	1
ACOT11	0
FAM151A	0
MROH7	0
MROH7-TTC4	0
TTC4	0
PARS2	0
TTC22	0
C1orf177	0
DHCR24	27
TRNAK-CUU	0
TMEM61	0
BSND	0
PCSK9	0
USP24	37
LOC100507634	0
MIR4422	0
LOC102724140	0
PPAP2B	10
PRKAA2	26
LOC102724154	0
C1orf168	0
LOC101929757	0
C8A	0
C8B	0
DAB1	0
DAB1-AS1	0
OMA1	6
TACSTD2	927
MYSM1	7
JUN	489
LINC01135	0
LOC101926907	0
RP4-794H19.4	1
HSD52	0
FGGY	2
MIR4711	0
RP4-782L23.1	1
HOOK1	63
CYP2J2	0
C1orf87	0
RP11-436K8.1	7
LOC100996570	0
NFIA	148
LOC102724281	32
RP5-833A20.1	0
MGC34796	0
TM2D1	50
INADL	108
MIR3116-1	0
MIR3116-2	0
L1TD1	0
KANK4	4
USP1	33
DOCK7	29
ANGPTL3	0
RP11-230B22.1	1
ATG4C	2
LINC00466	0
LOC100996301	0
FOXD3	0
MIR6068	0
ALG6	19
ITGB3BP	0
LOC102724319	0
EFCAB7	0
DLEU2L	0
PGM1	86
ROR1	15
RP11-24J23.2	0
UBE2U	0
CACHD1	33
LOC101927065	0
MIR4794	0
RAVER2	0
JAK1	576
RP11-182I10.3	0
MIR3671	0
MIR101-1	0
AK4	7
DNAJC6	2
LOC102724416	0
LEPROT	114
LEPR	17
PDE4B	460
RP11-397C12.1	0
SGIP1	7
MIR3117	0
TCTEX1D1	0
INSL5	0
WDR78	8
MIER1	36
SLC35D1	28
C1orf141	0
IL23R	0
IL12RB2	0
SERBP1	80
LOC102724481	0
GADD45A	19
GNG12	162
GNG12-AS1	0
DIRAS3	0
WLS	3
LOC101929986	0
MIR1262	0
RPE65	0
DEPDC1	0
RP4-694A7.4	0
LRRC7	1
PIN1P1	0
LRRC40	5
SRSF11	130
ANKRD13C	42
HHLA3	0
LOC102724548	0
CTH	3
RP5-952N6.1	0
LOC102724572	0
PTGER3	0
ZRANB2-AS1	1
ZRANB2	64
MIR186	0
ZRANB2-AS2	0
NEGR1	0
NEGR1-IT1	0
RP11-262K1.1	5
RP4-598G3.1	7
LRRIQ3	0
FPGT-TNNI3K	0
FPGT	0
TNNI3K	0
C1orf173	4
LOC101927320	0
CRYZ	0
TYW3	1
LHX8	0
SLC44A5	39
ACADM	52
RABGGTB	0
SNORD45C	0
SNORD45A	0
SNORD45B	0
MSH4	0
ASB17	0
RP11-550H2.1	0
ST6GALNAC3	0
ST6GALNAC5	0
MIR7156	0
PIGK	0
AK5	0
ZZZ3	0
USP33	51
FAM73A	33
NEXN-AS1	0
NEXN	0
FUBP1	148
DNAJB4	22
GIPC2	4
MGC27382	0
PTGFR	0
IFI44L	0
IFI44	0
ELTD1	0
RP5-887A10.1	0
LOC101927458	0
LPHN2	1
RP11-170N11.1	0
LOC101927542	0
RP11-475O6.1	0
RP11-475O6.1-2	0
TTLL7	0
PRKACB	0
LOC101927611	0
LOC101927633	0
SAMD13	0
UOX	0
DNASE2B	0
LOC101927656	1
RPF1	65
GNG5	137
SPATA1	1
CTBS	5
LOC101927773	0
C1orf180	0
SSX2IP	0
LOC102724892	0
LPAR3	1
MCOLN2	0
MCOLN3	0
WDR63	1
MIR4423	0
SYDE2	0
C1orf52	25
BCL10	65
LOC646626	3
DDAH1	101
LOC101930232	0
CYR61	0
ZNHIT6	2
COL24A1	0
ODF2L	2
MIR7856	4
CLCA2	2
CLCA1	0
CLCA4	0
CLCA3P	1
SH3GLB1	191
SEP15	340
HS2ST1	1
LINC01140	0
LOC101927844	0
LMO4	56
RP4-544H6.2	0
LOC101927871	0
RP11-76N22.2	0
PKN2	159
GTF2B	0
CCBL2	7
RBMXL1	30
GBP3	0
GBP1	2
GBP2	199
GBP7	0
GBP4	1
GBP5	0
LOC729930	1
GBP6	0
GBP1P1	0
LRRC8B	0
FLJ27354	0
LRRC8C	0
LOC102723361	0
LOC101927952	0
LOC101927933	0
LOC101927975	0
LRRC8D	0
GEMIN8P4	0
ZNF326	36
BARHL2	0
LOC149351	0
ZNF644	4
LOC102723410	0
HFM1	1
CDC7	2
LOC102723436	0
TGFBR3	40
BRDT	0
EPHX4	0
SETSIP	2
BTBD8	0
KIAA1107	0
C1orf146	0
GLMN	27
RPAP2	69
GFI1	0
EVI5	12
RPL5	846
FAM69A	19
SNORD21	0
SNORA66	0
MTF2	7
TMED5	87
CCDC18	1
LOC100131564	45
DR1	91
FNBP1L	71
TRNAC-GCA	0
BCAR3	6
RP5-1033H22.2	0
LOC102723480	0
MIR760	0
TRNAR15	0
DNTTIP2	298
GCLM	25
ABCA4	1
ARHGAP29	0
LOC100505940	0
ABCD3	15
F3	0
LOC102723542	0
LINC01057	13
MIR378G	0
SLC44A3	33
CNN3	156
RP4-639F20.1	0
ALG14	21
LOC101928098	10
TMEM56	11
TMEM56-RWDD3	9
RP11-57H12.3	0
RWDD3	21
LOC100996630	0
LOC101928169	0
FLJ31662	0
RP11-286B14.1	0
LOC101928219	0
LOC102723661	0
RP5-898J17.1	0
PTBP2	24
DPYD	204
DPYD-AS1	5
DPYD-AS2	0
LOC102723700	0
MIR137HG	3
MIR2682	0
MIR137	0
RP5-1070A16.1	0
SNX7	0
LPPR5	0
RP5-896L10.1	0
LPPR4	0
RP11-413P11.1	0
PALMD	81
FRRS1	0
AGL	3
LOC101930120	0
SLC35A3	79
HIAT1	6
SASS6	0
TRMT13	0
LRRC39	0
DBT	41
RP11-305E17.6	0
RTCA	52
MIR553	0
CDC14A	37
GPR88	0
RP11-84O12.4	0
VCAM1	0
EXTL2	0
SLC30A7	48
DPH5	26
LOC102606465	14
LOC101928334	0
LOC101928370	0
S1PR1	0
LOC102723784	0
OLFM3	0
DNAJA1P5	0
COL11A1	3
LOC101928436	0
RNPC3	44
AMY2B	0
ACTG1P4	0
AMY2A	0
AMY1A	0
AMY1B	0
AMY1C	0
LOC100129138	0
RP11-251P6.1	0
PRMT6	0
NTNG1	4
LOC102724829	0
VAV3	91
MIR7852	0
VAV3-AS1	0
SLC25A24	23
NBPF4	0
LOC400768	0
NBPF6	0
FAM102B	12
HENMT1	11
PRPF38B	31
FNDC7	0
STXBP3	91
AKNAD1	0
SPATA42	0
GPSM2	53
CLCC1	9
WDR47	78
TAF13	3
TMEM167B	59
SCARNA2	0
C1orf194	0
KIAA1324	1
SARS	131
CELSR2	67
PSRC1	0
MYBPHL	0
SORT1	50
PSMA5	148
SYPL2	0
ATXN7L2	0
CYB561D1	0
AMIGO1	1
GPR61	0
LOC101928560	0
GNAI3	31
MIR197	0
GNAT2	0
AMPD2	167
GSTM4	65
GSTM2	0
GSTM1	1
GSTM5	0
GSTM3	62
EPS8L3	0
CSF1	45
AHCYL1	10
STRIP1	0
ALX3	0
UBL4B	0
SLC6A17	12
KCNC4-AS1	0
KCNC4	4
RP5-1074L1.1	0
RBM15	0
SLC16A4	0
LAMTOR5	213
LAMTOR5-AS1	0
PROK1	0
CYMP	6
LOC440602	0
KCNA10	0
KCNA2	0
KCNA3	9
CD53	520
LRIF1	0
DRAM2	5
CEPT1	21
DENND2D	70
CHI3L2	39
CHIAP2	0
CHIA	0
PIFO	16
PGCP1	0
OVGP1	10
WDR77	8
ATP5F1	184
C1orf162	229
ADORA3	31
LINC01160	0
RAP1A	148
FAM212B	0
FAM212B-AS1	37
LOC101928718	54
DDX20	0
KCND3	0
KCND3-IT1	0
LOC643355	0
LOC101928754	0
CTTNBP2NL	67
MIR4256	0
WNT2B	0
ST7L	10
CAPZA1	297
MOV10	142
RHOC	210
PPM1J	0
FAM19A3	0
LOC128322	2
RP11-426L16.8	0
SLC16A1	0
AKR7A2P1	2
SLC16A1-AS1	0
LOC101930375	0
RP11-31F15.2	0
LRIG2	38
LOC102723919	0
LOC643441	0
MAGI3	0
PHTF1	1
RSBN1	43
PTPN22	0
RP5-1073O3.2	0
AP4B1-AS1	0
BCL2L15	0
AP4B1	19
DCLRE1B	0
RP5-1073O3.7	0
HIPK1	0
OLFML3	0
SYT6	0
TRIM33	91
LOC101928890	5
BCAS2	18
DENND2C	0
AMPD1	0
NRAS	8
CSDE1	239
SIKE1	8
SYCP1	0
TSHB	0
TSPAN2	0
NGF	0
VANGL1	49
CASQ2	0
NHLH2	0
LOC101928977	0
SLC22A15	0
MAB21L3	1
ATP1A1	354
ATP1A1OS	74
RP4-655J12.4	1
CD58	60
MIR548AC	0
IGSF3	0
MIR320B1	0
C1orf137	0
CD2	0
PTGFRN	66
CD101	26
RP11-27K13.3	4
TTF2	0
MIR942	0
TRIM45	16
VTCN1	15
MAN1A2	54
FAM46C	1
GDAP2	22
WDR3	54
SPAG17	32
TBX15	0
WARS2	63
RP11-418J17.1	3
HAO2	0
HAO2-IT1	0
HSD3B2	0
HSD3B1	0
HSD3BP4	1
LINC00622	0
ZNF697	0
PHGDH	0
HMGCS2	0
REG4	3
NBPF7	0
ADAM30	0
NOTCH2	155
LOC101929178	0
SEC22B	24
LOC100996723	2
LOC101929786	0
LOC101929788	0
NBPF8	4
PFN1P2	0
LOC102724372	0
LOC100996724	2
LOC101929792	0
LOC101929796	0
LOC102724282	0
NBPF26	9
TRNAN5	0
RNVU1-19	14
PPIAL4B	0
LINC00623	3
RNVU1-4	47
TRNAN22	0
LINC00623-2	0
LOC100996721	0
TRNAG-CCC-2	0
TRNAV-CAC	0
LOC101929798	0
TRNAN-GUU-2	0
FCGR1B	2
LOC100996318	0
HIST2H2BA	0
FAM72B	0
LOC102724451	0
SRGAP2C	0
SRGAP2-AS1	0
EMBP1	0
LOC101929814	0
LOC100996735	0
LOC101929815	0
LOC101927452	0
NBPF23P	0
TRNAQ20	0
RNVU1-17	0
RNVU1-18	0
LOC101929561	0
TRNAN3	0
LOC388692	0
TRNAV16	0
TRNAV25	0
RP11-353N4.5	0
TRNAN29	0
FCGR1C	3
LOC100996713	0
FAM72C	0
SRGAP2D	0
LOC102724504	0
LOC101929803	0
LOC100996732	0
LOC101927333	0
PPIAL4E	0
RNVU1-15	0
TRNAN27	0
NBPF15	21
TRNAN15	0
PPIAL4F	0
LOC101929826	0
LOC101927429	0
RP11-14N7.2	0
SRGAP2B	0
LOC102724255	0
FAM72D	0
TRNAN-GUU-3	0
LOC101929805	0
TRNAV-CAC-2	0
TRNAV-CAC-3	0
LOC102724235	0
LOC100996741	0
LOC100996740	0
PPIAL4D	0
RNVU1-14	9
TRNAN1	0
NBPF20	1
TRNAQ-CUG	0
TRNAN-GUU-4	0
LOC102724173	0
LOC101060254	0
NBPF25P	0
GPR89A	0
PDZK1	0
CD160	0
RNF115	0
POLR3C	0
NUDT17	7
PIAS3	34
MIR6736	0
ANKRD35	0
ITGA10	0
PEX11B	12
GNRHR2	0
RBM8A	60
LIX1L	0
POLR3GL	0
ANKRD34A	0
TXNIP	93
HFE2	0
TRNAE21	0
TRNAG11	0
TRNAH4	0
TRNAK20	0
RNVU1-6	9
RP11-458D21.1	0
NBPF10	5
NOTCH2NL	0
NUDT4P2	0
LOC102724364	0
TRNAN-GUU-5	0
LOC100996756	1
LOC102724558	2
LOC102724573	0
HYDIN2	0
NBPF12	5
LOC101929781	0
LOC728989	0
TRNAH10	0
NBPF13P	0
PRKAB2	3
CHD1L	0
PDIA3P1	122
FMO5	6
LINC00624	0
BCL9	7
ACP6	0
LOC102723321	0
GJA5	0
GJA8	1
GPR89B	0
TRNAQ13	0
RNVU1-7	0
TRNAN19	0
NBPF11	16
LOC100505824	0
LOC101929257	1
RP4-565E6.1	0
TRNAQ8	0
