Geneid	Br61_CTC___10
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	36
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	8
RP5-857K21.5	0
MIR6723	1
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	10
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	48
NOC2L	361
KLHL17	11
PLEKHN1	71
PERM1	21
HES4	133
ISG15	0
AGRN	46
LOC100288175	9
RNF223	33
C1orf159	143
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	149
B3GALT6	0
FAM132A	0
UBE2J2	218
LOC101928895	0
SCNN1D	0
ACAP3	17
MIR6726	0
PUSL1	25
CPSF3L	97
MIR6727	0
GLTPD1	107
TAS1R3	0
DVL1	0
MIR6808	0
MXRA8	0
AURKAIP1	217
CCNL2	177
LOC148413	117
MRPL20	198
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	17
ATAD3C	0
ATAD3B	55
ATAD3A	23
TMEM240	0
SSU72	548
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	4
SLC35E2B	42
MMP23A	0
CDK11A	24
SLC35E2	0
NADK	88
GNB1	107
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	32
LOC101929017	41
LOC100506504	0
C1orf86	25
SKI	0
MORN1	0
LOC100129534	0
RER1	243
PEX10	32
PLCH2	0
PANK4	71
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	126
MMEL1	130
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	148
MEGF6	11
MIR551A	0
TPRG1L	73
WRAP73	16
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	0
LRRC47	174
CEP104	2
DFFB	0
C1orf174	7
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	71
KCNAB2	0
CHD5	0
RPL22	67
LOC102724450	0
RNF207	1
ICMT	0
LINC00337	0
HES3	0
GPR153	0
ACOT7	33
HES2	167
ESPN	0
MIR4252	0
TNFRSF25	39
PLEKHG5	0
NOL9	60
TAS1R1	0
ZBTB48	2
KLHL21	0
PHF13	0
THAP3	38
DNAJC11	103
LOC100505887	0
CAMTA1	97
LOC100129476	0
LOC101928836	0
VAMP3	113
PER3	125
UTS2	0
TNFRSF9	0
PARK7	435
ERRFI1	1652
LOC102724539	0
SLC45A1	0
RERE	193
LOC102724552	0
ENO1	1618
MIR6728	13
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	50
MIR34A	0
LOC102724571	0
H6PD	0
SPSB1	32
LOC100506022	0
SLC25A33	46
TMEM201	170
PIK3CD	0
C1orf200	0
LOC101929074	0
CLSTN1	68
CTNNBIP1	81
LZIC	26
NMNAT1	0
MIR5697	0
