Geneid	Br39_15
DDX11L1	0
WASH7P	1
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	43
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	3
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	3
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	185
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	106
NOC2L	416
KLHL17	0
PLEKHN1	18
PERM1	0
HES4	90
ISG15	90
AGRN	110
LOC100288175	0
RNF223	0
C1orf159	15
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	10
TNFRSF18	0
TNFRSF4	0
SDF4	95
B3GALT6	0
FAM132A	0
UBE2J2	449
LOC101928895	1
SCNN1D	104
ACAP3	0
MIR6726	0
PUSL1	106
CPSF3L	45
MIR6727	0
GLTPD1	55
TAS1R3	0
DVL1	4
MIR6808	0
MXRA8	9
AURKAIP1	96
CCNL2	1740
LOC148413	23
MRPL20	158
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	81
ATAD3C	230
ATAD3B	7
ATAD3A	112
TMEM240	0
SSU72	481
C1orf233	0
MIB2	19
MMP23B	0
CDK11B	105
SLC35E2B	252
MMP23A	0
CDK11A	23
SLC35E2	61
NADK	39
GNB1	213
CALML6	2
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	9
LOC101929017	5
LOC100506504	0
C1orf86	44
SKI	0
MORN1	30
LOC100129534	13
RER1	959
PEX10	1
PLCH2	0
PANK4	0
HES5	0
LOC115110	0
LOC100133445	14
TNFRSF14	127
RP3-395M20.9	0
FAM213B	0
MMEL1	0
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	102
MIR4251	0
ARHGEF16	62
MEGF6	0
MIR551A	0
TPRG1L	128
WRAP73	196
TP73	0
TP73-AS1	97
CCDC27	0
SMIM1	0
LRRC47	246
CEP104	118
DFFB	0
C1orf174	22
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	2
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	90
KCNAB2	0
CHD5	0
RPL22	50
LOC102724450	0
RNF207	35
ICMT	90
LINC00337	0
HES3	0
GPR153	0
ACOT7	0
