Geneid	Br57_CTC__17
DDX11L1	0
WASH7P	1
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	52
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	6
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	4
LOC100287934	0
FAM87B	0
LINC00115	9
LINC01128	28
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	19
NOC2L	101
KLHL17	115
PLEKHN1	285
PERM1	5
HES4	201
ISG15	26
AGRN	579
LOC100288175	29
RNF223	46
C1orf159	113
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	8
SDF4	68
B3GALT6	0
FAM132A	52
UBE2J2	213
LOC101928895	0
SCNN1D	0
ACAP3	48
MIR6726	0
PUSL1	241
CPSF3L	313
MIR6727	0
GLTPD1	50
TAS1R3	0
DVL1	30
MIR6808	0
MXRA8	0
AURKAIP1	71
CCNL2	562
LOC148413	94
MRPL20	164
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	9
ATAD3B	63
ATAD3A	4
TMEM240	0
SSU72	181
C1orf233	0
MIB2	27
MMP23B	0
CDK11B	47
SLC35E2B	61
MMP23A	0
CDK11A	19
SLC35E2	14
NADK	55
GNB1	102
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	71
LOC101929017	6
LOC100506504	0
C1orf86	25
SKI	33
MORN1	0
LOC100129534	0
RER1	166
PEX10	141
PLCH2	0
PANK4	92
HES5	0
LOC115110	0
LOC100133445	5
TNFRSF14	75
RP3-395M20.9	0
FAM213B	0
MMEL1	0
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	44
MEGF6	47
MIR551A	0
TPRG1L	53
WRAP73	99
TP73	0
TP73-AS1	43
CCDC27	0
SMIM1	0
LRRC47	23
CEP104	33
DFFB	0
C1orf174	207
LINC01134	2
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	108
KCNAB2	0
CHD5	0
RPL22	23
LOC102724450	0
RNF207	110
ICMT	97
LINC00337	0
HES3	0
GPR153	0
