Geneid	Br61_CTC___45
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	22
LOC100996442	0
LOC102723897	2
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	1
OR4F16	0
LOC100133331	4
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	14
NOC2L	93
KLHL17	1
PLEKHN1	217
PERM1	9
HES4	80
ISG15	23
AGRN	48
LOC100288175	0
RNF223	29
C1orf159	0
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	87
B3GALT6	45
FAM132A	0
UBE2J2	126
LOC101928895	0
SCNN1D	0
ACAP3	26
MIR6726	0
PUSL1	3
CPSF3L	125
MIR6727	0
GLTPD1	31
TAS1R3	0
DVL1	0
MIR6808	0
MXRA8	0
AURKAIP1	24
CCNL2	294
LOC148413	34
MRPL20	22
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	0
ATAD3B	7
ATAD3A	1
TMEM240	0
SSU72	154
C1orf233	0
MIB2	47
MMP23B	0
CDK11B	1
SLC35E2B	12
MMP23A	0
CDK11A	6
SLC35E2	1
NADK	77
GNB1	212
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	7
LOC101929017	0
LOC100506504	0
C1orf86	39
SKI	0
MORN1	13
LOC100129534	0
RER1	110
PEX10	35
PLCH2	0
PANK4	0
HES5	0
LOC115110	0
LOC100133445	9
TNFRSF14	53
RP3-395M20.9	0
FAM213B	15
MMEL1	4
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	5
MIR4251	0
ARHGEF16	60
MEGF6	0
MIR551A	0
TPRG1L	0
WRAP73	0
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	2
LRRC47	38
CEP104	0
DFFB	0
C1orf174	0
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	37
LOC102724450	0
RNF207	0
ICMT	9
LINC00337	0
HES3	0
GPR153	0
ACOT7	0
HES2	30
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	2
TAS1R1	0
ZBTB48	20
KLHL21	33
PHF13	35
THAP3	0
DNAJC11	0
LOC100505887	0
CAMTA1	17
LOC100129476	0
LOC101928836	0
VAMP3	72
PER3	28
UTS2	0
TNFRSF9	0
PARK7	80
ERRFI1	2800
LOC102724539	0
SLC45A1	0
RERE	43
LOC102724552	0
ENO1	856
MIR6728	13
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	0
MIR34A	0
LOC102724571	0
H6PD	13
SPSB1	3
LOC100506022	0
SLC25A33	0
TMEM201	7
PIK3CD	0
C1orf200	0
LOC101929074	0
CLSTN1	11
CTNNBIP1	0
LZIC	0
NMNAT1	4
MIR5697	0
