Geneid	Br61_CTC___24
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	12
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	4
LOC100134822	13
RP5-857K21.5	0
MIR6723	1
OR4F16	0
LOC100133331	1
LOC101928706	2
LOC101060494	0
LOC100288069	7
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	5
LOC100130417	0
LOC101928801	10
SAMD11	35
NOC2L	262
KLHL17	13
PLEKHN1	14
PERM1	35
HES4	156
ISG15	0
AGRN	183
LOC100288175	0
RNF223	50
C1orf159	138
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	193
B3GALT6	119
FAM132A	0
UBE2J2	141
LOC101928895	0
SCNN1D	124
ACAP3	48
MIR6726	0
PUSL1	43
CPSF3L	229
MIR6727	0
GLTPD1	15
TAS1R3	0
DVL1	20
MIR6808	0
MXRA8	24
AURKAIP1	202
CCNL2	655
LOC148413	88
MRPL20	183
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	117
ATAD3C	0
ATAD3B	63
ATAD3A	119
TMEM240	0
SSU72	361
C1orf233	0
MIB2	60
MMP23B	0
CDK11B	25
SLC35E2B	51
MMP23A	0
CDK11A	12
SLC35E2	48
NADK	217
GNB1	360
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	133
LOC101929017	2
LOC100506504	10
C1orf86	101
SKI	12
MORN1	13
LOC100129534	0
RER1	223
PEX10	60
PLCH2	0
PANK4	1
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	94
MMEL1	66
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	188
MEGF6	48
MIR551A	0
TPRG1L	42
WRAP73	5
TP73	0
TP73-AS1	70
CCDC27	0
SMIM1	0
LRRC47	91
CEP104	0
DFFB	0
C1orf174	14
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	38
KCNAB2	0
CHD5	0
RPL22	222
LOC102724450	14
RNF207	7
ICMT	181
LINC00337	0
HES3	0
GPR153	0
ACOT7	137
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	3
TAS1R1	0
ZBTB48	80
KLHL21	67
PHF13	0
THAP3	104
DNAJC11	144
LOC100505887	0
CAMTA1	31
LOC100129476	0
LOC101928836	0
VAMP3	246
PER3	0
UTS2	0
TNFRSF9	0
PARK7	497
ERRFI1	1035
LOC102724539	0
SLC45A1	0
RERE	102
LOC102724552	0
ENO1	1664
MIR6728	15
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	100
MIR34A	0
LOC102724571	0
H6PD	92
SPSB1	10
LOC100506022	0
SLC25A33	35
TMEM201	1
PIK3CD	5
C1orf200	0
LOC101929074	0
CLSTN1	509
CTNNBIP1	63
LZIC	7
NMNAT1	3
MIR5697	0
