Geneid	Br11_4
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	0
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	9
NOC2L	39
KLHL17	0
PLEKHN1	0
PERM1	0
HES4	58
ISG15	132
AGRN	30
LOC100288175	0
RNF223	0
C1orf159	57
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	27
TNFRSF4	0
SDF4	105
B3GALT6	52
FAM132A	0
UBE2J2	108
LOC101928895	0
SCNN1D	18
ACAP3	52
MIR6726	0
PUSL1	16
CPSF3L	149
MIR6727	0
GLTPD1	40
TAS1R3	0
DVL1	45
MIR6808	0
MXRA8	0
AURKAIP1	139
CCNL2	226
LOC148413	19
MRPL20	88
ANKRD65	0
TMEM88B	0
LOC102724312	13
VWA1	12
ATAD3C	0
ATAD3B	50
ATAD3A	0
TMEM240	0
SSU72	137
C1orf233	0
MIB2	33
MMP23B	0
CDK11B	31
SLC35E2B	18
MMP23A	0
CDK11A	19
SLC35E2	11
NADK	29
GNB1	44
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	11
LOC101929017	2
LOC100506504	0
C1orf86	14
SKI	2
MORN1	0
LOC100129534	0
RER1	165
PEX10	14
PLCH2	4
PANK4	75
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	145
MMEL1	147
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	51
MEGF6	0
MIR551A	0
TPRG1L	0
WRAP73	44
TP73	18
TP73-AS1	21
CCDC27	0
SMIM1	10
LRRC47	97
CEP104	35
DFFB	0
C1orf174	104
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	14
KCNAB2	12
CHD5	2
RPL22	23
LOC102724450	0
RNF207	0
ICMT	33
LINC00337	0
HES3	0
GPR153	0
ACOT7	44
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	2
PLEKHG5	0
NOL9	12
TAS1R1	0
ZBTB48	0
KLHL21	0
PHF13	0
THAP3	30
DNAJC11	30
LOC100505887	0
CAMTA1	0
LOC100129476	0
LOC101928836	0
VAMP3	57
PER3	0
UTS2	0
TNFRSF9	0
PARK7	230
ERRFI1	158
LOC102724539	0
SLC45A1	0
RERE	88
LOC102724552	0
ENO1	1468
MIR6728	11
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	26
MIR34A	2
LOC102724571	0
H6PD	51
SPSB1	0
LOC100506022	0
SLC25A33	3
TMEM201	0
PIK3CD	7
C1orf200	0
LOC101929074	0
CLSTN1	185
CTNNBIP1	38
LZIC	28
NMNAT1	11
MIR5697	0
LOC102724647	0
