Geneid	Br7_5
DDX11L1	0
WASH7P	2
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	20
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	10
NOC2L	103
KLHL17	8
PLEKHN1	0
PERM1	0
HES4	8
ISG15	137
AGRN	15
LOC100288175	38
RNF223	0
C1orf159	31
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	28
TNFRSF4	0
SDF4	265
B3GALT6	0
FAM132A	0
UBE2J2	99
LOC101928895	0
SCNN1D	0
ACAP3	41
MIR6726	0
PUSL1	49
CPSF3L	136
MIR6727	1
GLTPD1	80
TAS1R3	13
DVL1	0
MIR6808	0
MXRA8	0
AURKAIP1	39
CCNL2	455
LOC148413	44
MRPL20	158
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	0
ATAD3B	46
ATAD3A	67
TMEM240	0
SSU72	171
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	9
SLC35E2B	23
MMP23A	0
CDK11A	0
SLC35E2	4
NADK	54
GNB1	155
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	2
PRKCZ	0
LOC101929017	0
LOC100506504	0
C1orf86	9
SKI	1
MORN1	26
LOC100129534	33
RER1	328
PEX10	0
PLCH2	0
PANK4	60
HES5	0
LOC115110	0
LOC100133445	12
TNFRSF14	157
RP3-395M20.9	3
FAM213B	199
MMEL1	41
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	162
MEGF6	173
MIR551A	0
TPRG1L	0
WRAP73	30
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	0
LRRC47	71
CEP104	92
DFFB	20
C1orf174	31
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	15
KCNAB2	0
CHD5	0
RPL22	32
LOC102724450	0
RNF207	0
ICMT	75
LINC00337	0
HES3	0
GPR153	48
ACOT7	1
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	57
PLEKHG5	2
NOL9	92
TAS1R1	0
ZBTB48	0
KLHL21	113
PHF13	0
THAP3	45
DNAJC11	160
LOC100505887	0
CAMTA1	28
LOC100129476	0
LOC101928836	0
VAMP3	70
PER3	0
UTS2	0
TNFRSF9	0
PARK7	218
ERRFI1	112
LOC102724539	0
SLC45A1	0
RERE	77
LOC102724552	0
ENO1	916
MIR6728	5
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	0
MIR34A	0
LOC102724571	37
H6PD	0
SPSB1	15
LOC100506022	0
SLC25A33	4
TMEM201	3
PIK3CD	6
C1orf200	0
LOC101929074	0
CLSTN1	154
CTNNBIP1	25
LZIC	46
NMNAT1	0
MIR5697	0
LOC102724647	0
RBP7	0
UBE4B	17
KIF1B	55
MIR1273D	0
PGD	16
APITD1-CORT	0
APITD1	0
CORT	0
DFFA	57
PEX14	8
CASZ1	124
C1orf127	0
TARDBP	200
MASP2	2
SRM	23
EXOSC10	252
MTOR	114
MTOR-AS1	0
ANGPTL7	0
UBIAD1	138
PTCHD2	0
RP1-69M21.2	0
FBXO2	87
FBXO44	6
FBXO6	0
MAD2L2	158
DRAXIN	2
AGTRAP	112
C1orf167	0
LOC102724659	0
MTHFR	0
CLCN6	75
NPPA-AS1	23
NPPA	4
NPPB	0
RNU5E-1	0
KIAA2013	2
PLOD1	0
MFN2	172
MIIP	42
MIR6729	0
TNFRSF8	0
MIR7846	0
TNFRSF1B	1
MIR4632	0
VPS13D	94
SNORA59A	0
DHRS3	2
MIR6730	0
AADACL4	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
HNRNPCL1	2
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
PRAMEF6	0
LOC102724742	0
LOC101929983	0
LOC649330	0
PRAMEF25	0
HNRNPCP5	0
PRAMEF26	0
LOC101060301	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF5	0
