Geneid	Br57_CTC__9
DDX11L1	0
WASH7P	1
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	24
LOC100996442	0
LOC102723897	1
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	5
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	1
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	3
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	55
NOC2L	308
KLHL17	9
PLEKHN1	53
PERM1	17
HES4	146
ISG15	0
AGRN	50
LOC100288175	14
RNF223	74
C1orf159	32
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	110
B3GALT6	7
FAM132A	0
UBE2J2	245
LOC101928895	0
SCNN1D	14
ACAP3	158
MIR6726	2
PUSL1	267
CPSF3L	245
MIR6727	1
GLTPD1	0
TAS1R3	0
DVL1	18
MIR6808	0
MXRA8	0
AURKAIP1	115
CCNL2	502
LOC148413	8
MRPL20	64
ANKRD65	2
TMEM88B	0
LOC102724312	0
VWA1	14
ATAD3C	4
ATAD3B	109
ATAD3A	0
TMEM240	0
SSU72	261
C1orf233	0
MIB2	4
MMP23B	0
CDK11B	26
SLC35E2B	105
MMP23A	0
CDK11A	0
SLC35E2	20
NADK	54
GNB1	219
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	0
LOC101929017	0
LOC100506504	0
C1orf86	14
SKI	0
MORN1	0
LOC100129534	0
RER1	236
PEX10	0
PLCH2	0
PANK4	51
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	7
MMEL1	0
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	101
MEGF6	104
MIR551A	0
TPRG1L	0
WRAP73	0
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	0
LRRC47	51
CEP104	0
DFFB	0
C1orf174	5
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	88
LOC102724450	0
RNF207	0
ICMT	37
LINC00337	0
HES3	0
GPR153	2
