Geneid	Br16_3
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	4
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	6
LOC101928801	8
SAMD11	29
NOC2L	96
KLHL17	0
PLEKHN1	0
PERM1	8
HES4	112
ISG15	706
AGRN	87
LOC100288175	0
RNF223	49
C1orf159	0
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	2
TTLL10-AS1	0
TTLL10	0
TNFRSF18	85
TNFRSF4	0
SDF4	248
B3GALT6	0
FAM132A	3
UBE2J2	25
LOC101928895	0
SCNN1D	0
ACAP3	56
MIR6726	1
PUSL1	38
CPSF3L	263
MIR6727	3
GLTPD1	28
TAS1R3	0
DVL1	5
MIR6808	0
MXRA8	0
AURKAIP1	195
CCNL2	223
LOC148413	118
MRPL20	315
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	36
ATAD3C	34
ATAD3B	82
ATAD3A	0
TMEM240	0
SSU72	270
C1orf233	4
MIB2	0
MMP23B	0
CDK11B	9
SLC35E2B	9
MMP23A	0
CDK11A	8
SLC35E2	1
NADK	99
GNB1	85
CALML6	0
TMEM52	0
KIAA1751	19
GABRD	112
PRKCZ	72
LOC101929017	5
LOC100506504	0
C1orf86	17
SKI	0
MORN1	67
LOC100129534	0
RER1	335
PEX10	1
PLCH2	8
PANK4	10
HES5	0
LOC115110	0
LOC100133445	24
TNFRSF14	158
RP3-395M20.9	0
FAM213B	46
MMEL1	16
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	141
MEGF6	15
MIR551A	0
TPRG1L	0
WRAP73	40
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	13
LRRC47	63
CEP104	87
DFFB	0
C1orf174	125
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	38
KCNAB2	1
CHD5	0
RPL22	73
LOC102724450	0
RNF207	61
ICMT	69
LINC00337	0
HES3	0
GPR153	0
ACOT7	137
HES2	259
ESPN	22
MIR4252	0
TNFRSF25	0
PLEKHG5	2
NOL9	100
TAS1R1	0
ZBTB48	93
KLHL21	105
PHF13	0
THAP3	69
DNAJC11	156
LOC100505887	0
CAMTA1	61
LOC100129476	0
LOC101928836	0
VAMP3	3
PER3	0
UTS2	0
TNFRSF9	0
PARK7	451
ERRFI1	98
LOC102724539	0
SLC45A1	0
RERE	32
LOC102724552	0
ENO1	1410
MIR6728	8
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	2
GPR157	0
MIR34A	0
LOC102724571	32
H6PD	51
SPSB1	41
LOC100506022	0
SLC25A33	20
TMEM201	0
PIK3CD	3
C1orf200	0
LOC101929074	0
CLSTN1	217
CTNNBIP1	30
LZIC	32
NMNAT1	12
MIR5697	0
LOC102724647	0
