Geneid	Br61_CTC___13
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	5
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	1
FAM87B	7
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	8
LOC100130417	0
LOC101928801	0
SAMD11	29
NOC2L	154
KLHL17	43
PLEKHN1	56
PERM1	8
HES4	121
ISG15	24
AGRN	156
LOC100288175	0
RNF223	7
C1orf159	17
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	128
B3GALT6	0
FAM132A	7
UBE2J2	96
LOC101928895	0
SCNN1D	0
ACAP3	91
MIR6726	1
PUSL1	122
CPSF3L	93
MIR6727	0
GLTPD1	126
TAS1R3	0
DVL1	32
MIR6808	0
MXRA8	0
AURKAIP1	105
CCNL2	112
LOC148413	24
MRPL20	69
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	0
ATAD3B	14
ATAD3A	0
TMEM240	0
SSU72	78
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	45
SLC35E2B	16
MMP23A	0
CDK11A	18
SLC35E2	6
NADK	81
GNB1	90
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	1
PRKCZ	85
LOC101929017	28
LOC100506504	0
C1orf86	26
SKI	51
MORN1	0
LOC100129534	0
RER1	53
PEX10	6
PLCH2	19
PANK4	0
HES5	0
LOC115110	0
LOC100133445	2
TNFRSF14	11
RP3-395M20.9	0
FAM213B	43
MMEL1	29
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	101
MEGF6	2
MIR551A	0
TPRG1L	11
WRAP73	119
TP73	0
TP73-AS1	22
CCDC27	0
SMIM1	0
LRRC47	156
CEP104	55
DFFB	0
C1orf174	18
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	9
KCNAB2	0
CHD5	0
RPL22	56
LOC102724450	0
RNF207	0
ICMT	37
LINC00337	0
HES3	0
GPR153	55
ACOT7	83
HES2	1
ESPN	0
MIR4252	0
TNFRSF25	2
PLEKHG5	49
NOL9	10
TAS1R1	0
ZBTB48	18
KLHL21	96
PHF13	0
THAP3	0
DNAJC11	0
LOC100505887	0
CAMTA1	5
LOC100129476	0
LOC101928836	0
VAMP3	64
PER3	0
UTS2	0
TNFRSF9	0
PARK7	85
ERRFI1	332
LOC102724539	0
SLC45A1	0
RERE	3
LOC102724552	1
ENO1	679
MIR6728	3
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	30
MIR34A	0
LOC102724571	6
H6PD	2
SPSB1	25
LOC100506022	0
SLC25A33	57
TMEM201	1
PIK3CD	0
C1orf200	0
LOC101929074	0
CLSTN1	138
CTNNBIP1	11
LZIC	5
NMNAT1	0
MIR5697	0
