Geneid	Br57_CTC__2
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	13
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	6
RP5-857K21.5	0
MIR6723	1
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	1
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	2
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	22
NOC2L	76
KLHL17	0
PLEKHN1	2
PERM1	20
HES4	40
ISG15	17
AGRN	112
LOC100288175	34
RNF223	10
C1orf159	34
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	2
SDF4	176
B3GALT6	1
FAM132A	0
UBE2J2	79
LOC101928895	0
SCNN1D	7
ACAP3	13
MIR6726	0
PUSL1	0
CPSF3L	40
MIR6727	0
GLTPD1	12
TAS1R3	0
DVL1	16
MIR6808	0
MXRA8	0
AURKAIP1	25
CCNL2	678
LOC148413	2
MRPL20	22
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	0
ATAD3B	66
ATAD3A	15
TMEM240	0
SSU72	235
C1orf233	46
MIB2	9
MMP23B	0
CDK11B	7
SLC35E2B	46
MMP23A	0
CDK11A	1
SLC35E2	13
NADK	65
GNB1	218
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	76
LOC101929017	0
LOC100506504	36
C1orf86	30
SKI	3
MORN1	0
LOC100129534	0
RER1	134
PEX10	43
PLCH2	0
PANK4	11
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	30
MMEL1	13
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	9
MEGF6	0
MIR551A	0
TPRG1L	16
WRAP73	0
TP73	0
TP73-AS1	9
CCDC27	0
SMIM1	0
LRRC47	64
CEP104	0
DFFB	0
C1orf174	75
LINC01134	11
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	26
LOC102724450	0
RNF207	25
ICMT	95
LINC00337	0
HES3	0
GPR153	0
ACOT7	67
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	23
TAS1R1	0
ZBTB48	0
KLHL21	30
PHF13	0
THAP3	26
DNAJC11	112
LOC100505887	0
CAMTA1	81
LOC100129476	0
LOC101928836	0
VAMP3	124
PER3	0
UTS2	0
TNFRSF9	0
PARK7	162
ERRFI1	1094
LOC102724539	0
SLC45A1	0
RERE	30
LOC102724552	0
ENO1	1571
MIR6728	19
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	0
MIR34A	0
LOC102724571	1
H6PD	89
SPSB1	44
LOC100506022	0
SLC25A33	22
TMEM201	0
PIK3CD	1
C1orf200	0
LOC101929074	0
CLSTN1	213
CTNNBIP1	17
LZIC	87
NMNAT1	0
MIR5697	0
