Geneid	Br57_CTC__11
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	39
LOC100996442	0
LOC102723897	3
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	60
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	39
NOC2L	155
KLHL17	0
PLEKHN1	108
PERM1	14
HES4	201
ISG15	170
AGRN	4
LOC100288175	3
RNF223	19
C1orf159	67
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	236
B3GALT6	0
FAM132A	0
UBE2J2	48
LOC101928895	0
SCNN1D	0
ACAP3	45
MIR6726	2
PUSL1	209
CPSF3L	394
MIR6727	2
GLTPD1	46
TAS1R3	52
DVL1	22
MIR6808	0
MXRA8	0
AURKAIP1	191
CCNL2	450
LOC148413	55
MRPL20	184
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	45
ATAD3C	0
ATAD3B	3
ATAD3A	0
TMEM240	0
SSU72	193
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	2
SLC35E2B	14
MMP23A	0
CDK11A	70
SLC35E2	24
NADK	53
GNB1	156
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	0
LOC101929017	0
LOC100506504	0
C1orf86	46
SKI	0
MORN1	0
LOC100129534	0
RER1	94
PEX10	69
PLCH2	0
PANK4	91
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	28
MMEL1	0
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	13
MIR4251	0
ARHGEF16	35
MEGF6	0
MIR551A	0
TPRG1L	80
WRAP73	69
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	0
LRRC47	246
CEP104	27
DFFB	0
C1orf174	82
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	46
KCNAB2	0
CHD5	0
RPL22	143
LOC102724450	0
RNF207	0
ICMT	187
LINC00337	0
HES3	0
GPR153	0
ACOT7	50
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	60
TAS1R1	0
ZBTB48	51
KLHL21	165
PHF13	0
THAP3	109
DNAJC11	43
LOC100505887	0
CAMTA1	1
LOC100129476	0
LOC101928836	0
VAMP3	183
PER3	0
UTS2	0
TNFRSF9	0
PARK7	562
ERRFI1	743
LOC102724539	0
SLC45A1	0
RERE	97
LOC102724552	0
ENO1	3802
MIR6728	27
ENO1-AS1	13
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	0
MIR34A	0
LOC102724571	0
H6PD	16
SPSB1	2
LOC100506022	0
SLC25A33	17
TMEM201	115
PIK3CD	2
C1orf200	0
LOC101929074	0
CLSTN1	125
CTNNBIP1	4
LZIC	74
NMNAT1	0
MIR5697	0
