Geneid	Br39_16
DDX11L1	0
WASH7P	6
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	3
LOC729737	71
LOC100996442	0
LOC102723897	6
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	9
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	3
LOC100287934	0
FAM87B	0
LINC00115	17
LINC01128	39
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	15
NOC2L	121
KLHL17	0
PLEKHN1	31
PERM1	0
HES4	17
ISG15	104
AGRN	200
LOC100288175	0
RNF223	25
C1orf159	0
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	6
TNFRSF4	0
SDF4	81
B3GALT6	0
FAM132A	0
UBE2J2	39
LOC101928895	0
SCNN1D	0
ACAP3	51
MIR6726	0
PUSL1	120
CPSF3L	96
MIR6727	0
GLTPD1	125
TAS1R3	0
DVL1	0
MIR6808	0
MXRA8	248
AURKAIP1	40
CCNL2	1369
LOC148413	6
MRPL20	28
ANKRD65	10
TMEM88B	0
LOC102724312	0
VWA1	12
ATAD3C	20
ATAD3B	83
ATAD3A	4
TMEM240	0
SSU72	49
C1orf233	0
MIB2	16
MMP23B	0
CDK11B	19
SLC35E2B	29
MMP23A	0
CDK11A	13
SLC35E2	26
NADK	140
GNB1	169
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	3
LOC101929017	0
LOC100506504	0
C1orf86	1
SKI	110
MORN1	0
LOC100129534	2
RER1	484
PEX10	2
PLCH2	0
PANK4	132
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	0
MMEL1	1
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	94
MEGF6	0
MIR551A	0
TPRG1L	83
WRAP73	96
TP73	0
TP73-AS1	80
CCDC27	0
SMIM1	0
LRRC47	10
CEP104	40
DFFB	13
C1orf174	89
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	1
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	17
KCNAB2	0
CHD5	0
RPL22	8
LOC102724450	0
RNF207	1
ICMT	99
LINC00337	0
HES3	0
GPR153	0
ACOT7	0
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	60
TAS1R1	0
ZBTB48	96
KLHL21	215
PHF13	103
THAP3	151
DNAJC11	281
LOC100505887	0
CAMTA1	139
LOC100129476	0
LOC101928836	0
VAMP3	165
PER3	34
UTS2	0
TNFRSF9	0
PARK7	178
ERRFI1	373
LOC102724539	0
SLC45A1	0
RERE	103
LOC102724552	0
ENO1	1771
MIR6728	5
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	39
MIR34A	18
LOC102724571	3
H6PD	90
SPSB1	50
LOC100506022	0
SLC25A33	56
TMEM201	76
PIK3CD	0
C1orf200	0
LOC101929074	0
CLSTN1	88
CTNNBIP1	30
LZIC	79
NMNAT1	0
MIR5697	0
LOC102724647	0
RBP7	0
UBE4B	219
KIF1B	428
MIR1273D	0
PGD	9
APITD1-CORT	0
APITD1	0
CORT	0
DFFA	85
PEX14	4
