Geneid	Br61_CTC___18
DDX11L1	0
WASH7P	1
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	7
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	2
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	2
LOC101060494	0
LOC100288069	8
LOC100287934	8
FAM87B	0
LINC00115	1
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	9
NOC2L	50
KLHL17	0
PLEKHN1	37
PERM1	18
HES4	137
ISG15	0
AGRN	69
LOC100288175	5
RNF223	10
C1orf159	59
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	1
TNFRSF18	0
TNFRSF4	0
SDF4	200
B3GALT6	23
FAM132A	0
UBE2J2	101
LOC101928895	1
SCNN1D	1
ACAP3	41
MIR6726	1
PUSL1	21
CPSF3L	71
MIR6727	2
GLTPD1	33
TAS1R3	0
DVL1	6
MIR6808	0
MXRA8	0
AURKAIP1	51
CCNL2	240
LOC148413	111
MRPL20	56
ANKRD65	0
TMEM88B	0
LOC102724312	13
VWA1	36
ATAD3C	4
ATAD3B	19
ATAD3A	28
TMEM240	0
SSU72	255
C1orf233	0
MIB2	5
MMP23B	0
CDK11B	3
SLC35E2B	51
MMP23A	0
CDK11A	12
SLC35E2	4
NADK	64
GNB1	118
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	6
PRKCZ	62
LOC101929017	8
LOC100506504	0
C1orf86	53
SKI	8
MORN1	4
LOC100129534	0
RER1	196
PEX10	62
PLCH2	0
PANK4	11
HES5	0
LOC115110	9
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	70
MMEL1	27
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	23
MIR4251	0
ARHGEF16	43
MEGF6	95
MIR551A	0
TPRG1L	45
WRAP73	41
TP73	0
TP73-AS1	27
CCDC27	0
SMIM1	0
LRRC47	18
CEP104	115
DFFB	21
C1orf174	17
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	1
KCNAB2	0
CHD5	0
RPL22	102
LOC102724450	0
RNF207	0
ICMT	76
LINC00337	0
HES3	0
GPR153	0
