Geneid	Br57_CTC__10
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	6
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	6
RP5-857K21.5	0
MIR6723	1
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	3
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	3
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	10
NOC2L	43
KLHL17	24
PLEKHN1	41
PERM1	0
HES4	46
ISG15	0
AGRN	35
LOC100288175	13
RNF223	13
C1orf159	15
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	16
B3GALT6	0
FAM132A	0
UBE2J2	38
LOC101928895	0
SCNN1D	69
ACAP3	71
MIR6726	0
PUSL1	51
CPSF3L	67
MIR6727	1
GLTPD1	22
TAS1R3	0
DVL1	0
MIR6808	0
MXRA8	0
AURKAIP1	25
CCNL2	948
LOC148413	6
MRPL20	41
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	7
ATAD3B	11
ATAD3A	5
TMEM240	0
SSU72	75
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	41
SLC35E2B	2
MMP23A	0
CDK11A	19
SLC35E2	10
NADK	0
GNB1	56
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	21
LOC101929017	0
LOC100506504	0
C1orf86	11
SKI	74
MORN1	3
LOC100129534	15
RER1	43
PEX10	33
PLCH2	4
PANK4	2
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	46
MMEL1	0
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	0
MEGF6	188
MIR551A	0
TPRG1L	0
WRAP73	51
TP73	0
TP73-AS1	0
CCDC27	1
SMIM1	0
LRRC47	33
CEP104	84
DFFB	0
C1orf174	64
LINC01134	0
RP13-614K11.1	0
LOC102724415	1
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	68
LOC102724450	0
RNF207	34
ICMT	0
LINC00337	0
HES3	0
GPR153	8
ACOT7	0
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	5
PLEKHG5	0
NOL9	235
TAS1R1	0
ZBTB48	0
KLHL21	52
PHF13	133
THAP3	67
DNAJC11	73
LOC100505887	0
CAMTA1	37
LOC100129476	0
LOC101928836	0
VAMP3	181
PER3	45
UTS2	0
TNFRSF9	0
PARK7	78
ERRFI1	108
LOC102724539	0
SLC45A1	0
RERE	42
LOC102724552	0
ENO1	1094
MIR6728	8
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	0
MIR34A	0
LOC102724571	1
H6PD	72
SPSB1	1
LOC100506022	11
SLC25A33	8
TMEM201	0
PIK3CD	13
C1orf200	0
LOC101929074	0
CLSTN1	0
CTNNBIP1	0
LZIC	0
NMNAT1	5
MIR5697	0
