Geneid	Br57_CTC__13
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	4
LOC100996442	0
LOC102723897	2
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	4
RP5-857K21.5	0
MIR6723	4
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	22
NOC2L	108
KLHL17	6
PLEKHN1	7
PERM1	0
HES4	139
ISG15	0
AGRN	218
LOC100288175	3
RNF223	24
C1orf159	85
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	121
B3GALT6	23
FAM132A	0
UBE2J2	313
LOC101928895	0
SCNN1D	0
ACAP3	79
MIR6726	0
PUSL1	146
CPSF3L	28
MIR6727	0
GLTPD1	94
TAS1R3	0
DVL1	31
MIR6808	0
MXRA8	0
AURKAIP1	73
CCNL2	533
LOC148413	63
MRPL20	72
ANKRD65	0
TMEM88B	0
LOC102724312	27
VWA1	0
ATAD3C	0
ATAD3B	96
ATAD3A	5
TMEM240	0
SSU72	169
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	14
SLC35E2B	54
MMP23A	0
CDK11A	19
SLC35E2	6
NADK	49
GNB1	89
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	0
LOC101929017	0
LOC100506504	0
C1orf86	0
SKI	2
MORN1	7
LOC100129534	0
RER1	19
PEX10	37
PLCH2	0
PANK4	0
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	6
RP3-395M20.9	0
FAM213B	0
MMEL1	0
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	41
MEGF6	3
MIR551A	0
TPRG1L	15
WRAP73	29
TP73	0
TP73-AS1	1
CCDC27	0
SMIM1	2
LRRC47	130
CEP104	23
DFFB	67
C1orf174	72
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	36
LOC102724450	0
RNF207	0
ICMT	193
LINC00337	0
HES3	0
GPR153	0
ACOT7	1
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	31
TAS1R1	0
ZBTB48	0
KLHL21	362
PHF13	41
THAP3	83
DNAJC11	100
LOC100505887	0
CAMTA1	8
LOC100129476	0
LOC101928836	0
VAMP3	144
PER3	0
UTS2	0
TNFRSF9	1
PARK7	103
ERRFI1	152
LOC102724539	0
SLC45A1	2
RERE	114
LOC102724552	4
ENO1	1611
MIR6728	8
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	52
MIR34A	2
LOC102724571	0
H6PD	3
SPSB1	36
LOC100506022	0
SLC25A33	49
TMEM201	0
PIK3CD	13
C1orf200	0
LOC101929074	0
CLSTN1	95
CTNNBIP1	16
LZIC	0
NMNAT1	0
MIR5697	0
