Geneid	Br61_CTC___20
DDX11L1	0
WASH7P	1
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	13
LOC100996442	0
LOC102723897	1
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	10
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	2
LOC101928706	2
LOC101060494	0
LOC100288069	2
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	50
FAM41C	0
LOC284600	25
LOC100130417	0
LOC101928801	0
SAMD11	23
NOC2L	124
KLHL17	1
PLEKHN1	24
PERM1	0
HES4	204
ISG15	0
AGRN	108
LOC100288175	0
RNF223	0
C1orf159	135
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	288
B3GALT6	36
FAM132A	0
UBE2J2	97
LOC101928895	0
SCNN1D	0
ACAP3	34
MIR6726	0
PUSL1	114
CPSF3L	177
MIR6727	1
GLTPD1	0
TAS1R3	0
DVL1	7
MIR6808	0
MXRA8	0
AURKAIP1	276
CCNL2	208
LOC148413	32
MRPL20	176
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	0
ATAD3B	31
ATAD3A	28
TMEM240	0
SSU72	616
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	59
SLC35E2B	34
MMP23A	0
CDK11A	14
SLC35E2	0
NADK	156
GNB1	78
CALML6	32
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	47
LOC101929017	1
LOC100506504	0
C1orf86	99
SKI	0
MORN1	1
LOC100129534	0
RER1	217
PEX10	93
PLCH2	0
PANK4	60
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	30
MMEL1	5
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	0
MEGF6	128
MIR551A	0
TPRG1L	3
WRAP73	38
TP73	0
TP73-AS1	16
CCDC27	0
SMIM1	0
LRRC47	91
CEP104	122
DFFB	1
C1orf174	85
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	16
CHD5	0
RPL22	152
LOC102724450	0
RNF207	1
ICMT	260
LINC00337	9
HES3	0
GPR153	0
