Geneid	Br61_CTC___23
DDX11L1	0
WASH7P	2
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	7
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	3
LOC100134822	2
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	3
LOC101928706	0
LOC101060494	0
LOC100288069	3
LOC100287934	0
FAM87B	0
LINC00115	1
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	15
NOC2L	76
KLHL17	5
PLEKHN1	60
PERM1	0
HES4	129
ISG15	0
AGRN	30
LOC100288175	0
RNF223	45
C1orf159	72
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	123
B3GALT6	29
FAM132A	0
UBE2J2	237
LOC101928895	3
SCNN1D	10
ACAP3	63
MIR6726	1
PUSL1	18
CPSF3L	104
MIR6727	0
GLTPD1	50
TAS1R3	0
DVL1	47
MIR6808	0
MXRA8	39
AURKAIP1	156
CCNL2	368
LOC148413	69
MRPL20	177
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	74
ATAD3C	0
ATAD3B	5
ATAD3A	1
TMEM240	0
SSU72	302
C1orf233	2
MIB2	19
MMP23B	0
CDK11B	26
SLC35E2B	38
MMP23A	1
CDK11A	19
SLC35E2	8
NADK	6
GNB1	123
CALML6	0
TMEM52	14
KIAA1751	0
GABRD	0
PRKCZ	40
LOC101929017	1
LOC100506504	0
C1orf86	46
SKI	15
MORN1	1
LOC100129534	0
RER1	154
PEX10	41
PLCH2	0
PANK4	56
HES5	0
LOC115110	0
LOC100133445	3
TNFRSF14	28
RP3-395M20.9	0
FAM213B	41
MMEL1	19
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	88
MEGF6	33
MIR551A	0
TPRG1L	31
WRAP73	52
TP73	0
TP73-AS1	74
CCDC27	0
SMIM1	0
LRRC47	113
CEP104	20
DFFB	13
C1orf174	25
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	6
KCNAB2	0
CHD5	33
RPL22	160
LOC102724450	0
RNF207	4
ICMT	240
LINC00337	0
HES3	0
GPR153	0
ACOT7	46
HES2	53
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	28
TAS1R1	0
ZBTB48	11
KLHL21	0
PHF13	19
THAP3	34
DNAJC11	71
LOC100505887	0
CAMTA1	18
LOC100129476	0
LOC101928836	0
VAMP3	173
PER3	0
UTS2	0
TNFRSF9	0
PARK7	370
ERRFI1	642
LOC102724539	0
SLC45A1	0
RERE	141
LOC102724552	0
ENO1	1377
MIR6728	8
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	0
MIR34A	2
LOC102724571	0
H6PD	171
SPSB1	38
LOC100506022	0
SLC25A33	84
TMEM201	10
PIK3CD	9
C1orf200	0
LOC101929074	0
CLSTN1	350
CTNNBIP1	20
LZIC	57
NMNAT1	29
MIR5697	0
LOC102724647	0
RBP7	0
UBE4B	55
KIF1B	144
MIR1273D	0
PGD	258
APITD1-CORT	28
APITD1	22
CORT	7
DFFA	99
PEX14	10
CASZ1	97
C1orf127	0
TARDBP	247
MASP2	0
SRM	208
EXOSC10	136
MTOR	89
MTOR-AS1	0
ANGPTL7	0
UBIAD1	59
PTCHD2	0
RP1-69M21.2	0
FBXO2	11
FBXO44	37
FBXO6	0
MAD2L2	14
DRAXIN	0
AGTRAP	121
C1orf167	12
LOC102724659	0
MTHFR	66
CLCN6	67
NPPA-AS1	3
NPPA	0
NPPB	0
RNU5E-1	0
KIAA2013	9
PLOD1	282
MFN2	220
MIIP	13
MIR6729	0
TNFRSF8	0
MIR7846	0
TNFRSF1B	0
MIR4632	0
VPS13D	333
SNORA59A	0
DHRS3	43
MIR6730	0
AADACL4	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
HNRNPCL1	3
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
PRAMEF6	0
LOC102724742	0
LOC101929983	0
LOC649330	0
PRAMEF25	0
HNRNPCP5	0
PRAMEF26	0
LOC101060301	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
