Geneid	Br11_1
DDX11L1	0
WASH7P	1
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	1
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	1
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	4
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	78
NOC2L	206
KLHL17	0
PLEKHN1	0
PERM1	0
HES4	50
ISG15	313
AGRN	22
LOC100288175	4
RNF223	0
C1orf159	21
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	1
TTLL10-AS1	0
TTLL10	0
TNFRSF18	11
TNFRSF4	0
SDF4	17
B3GALT6	119
FAM132A	0
UBE2J2	112
LOC101928895	3
SCNN1D	4
ACAP3	3
MIR6726	0
PUSL1	10
CPSF3L	253
MIR6727	1
GLTPD1	146
TAS1R3	0
DVL1	45
MIR6808	0
MXRA8	2
AURKAIP1	65
CCNL2	892
LOC148413	89
MRPL20	53
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	40
ATAD3B	130
ATAD3A	15
TMEM240	0
SSU72	471
C1orf233	0
MIB2	47
MMP23B	0
CDK11B	21
SLC35E2B	0
MMP23A	0
CDK11A	26
SLC35E2	0
NADK	69
GNB1	124
CALML6	0
TMEM52	34
KIAA1751	0
GABRD	0
PRKCZ	2
LOC101929017	0
LOC100506504	0
C1orf86	40
SKI	26
MORN1	46
LOC100129534	0
RER1	180
PEX10	116
PLCH2	6
PANK4	0
HES5	0
LOC115110	0
LOC100133445	4
TNFRSF14	62
RP3-395M20.9	0
FAM213B	99
MMEL1	10
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	1
MEGF6	0
MIR551A	0
TPRG1L	21
WRAP73	4
TP73	0
TP73-AS1	109
CCDC27	0
SMIM1	0
LRRC47	60
CEP104	26
DFFB	0
C1orf174	20
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	1
RPL22	91
LOC102724450	0
RNF207	0
ICMT	70
LINC00337	2
HES3	0
GPR153	3
ACOT7	24
