Geneid	Br61_CTC___38
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	6
LOC100996442	0
LOC102723897	3
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	2
LOC100134822	0
RP5-857K21.5	0
MIR6723	2
OR4F16	0
LOC100133331	3
LOC101928706	2
LOC101060494	0
LOC100288069	7
LOC100287934	0
FAM87B	8
LINC00115	0
LINC01128	12
FAM41C	0
LOC284600	1
LOC100130417	0
LOC101928801	0
SAMD11	51
NOC2L	383
KLHL17	64
PLEKHN1	184
PERM1	4
HES4	158
ISG15	1
AGRN	65
LOC100288175	3
RNF223	64
C1orf159	165
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	6
TNFRSF18	0
TNFRSF4	0
SDF4	373
B3GALT6	9
FAM132A	0
UBE2J2	121
LOC101928895	3
SCNN1D	21
ACAP3	0
MIR6726	0
PUSL1	114
CPSF3L	124
MIR6727	1
GLTPD1	17
TAS1R3	0
DVL1	21
MIR6808	0
MXRA8	0
AURKAIP1	152
CCNL2	696
LOC148413	176
MRPL20	166
ANKRD65	0
TMEM88B	0
LOC102724312	10
VWA1	249
ATAD3C	0
ATAD3B	91
ATAD3A	5
TMEM240	0
SSU72	415
C1orf233	135
MIB2	121
MMP23B	0
CDK11B	37
SLC35E2B	65
MMP23A	0
CDK11A	13
SLC35E2	16
NADK	224
GNB1	297
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	15
PRKCZ	57
LOC101929017	9
LOC100506504	0
C1orf86	97
SKI	16
MORN1	0
LOC100129534	0
RER1	225
PEX10	9
PLCH2	14
PANK4	10
HES5	0
LOC115110	0
LOC100133445	11
TNFRSF14	96
RP3-395M20.9	0
FAM213B	15
MMEL1	23
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	5
MIR4251	0
ARHGEF16	258
MEGF6	81
MIR551A	0
TPRG1L	6
WRAP73	161
TP73	0
TP73-AS1	91
CCDC27	0
SMIM1	1
LRRC47	111
CEP104	18
DFFB	12
C1orf174	1
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	30
KCNAB2	0
CHD5	0
RPL22	224
LOC102724450	0
RNF207	8
ICMT	200
LINC00337	1
HES3	0
GPR153	0
ACOT7	19
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	8
PLEKHG5	0
NOL9	0
TAS1R1	14
ZBTB48	144
KLHL21	61
PHF13	117
THAP3	62
DNAJC11	175
LOC100505887	0
CAMTA1	66
LOC100129476	0
LOC101928836	0
VAMP3	269
PER3	27
UTS2	0
TNFRSF9	0
PARK7	527
ERRFI1	1428
LOC102724539	0
SLC45A1	0
RERE	180
LOC102724552	0
ENO1	2962
MIR6728	18
ENO1-AS1	5
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	56
MIR34A	0
LOC102724571	2
H6PD	189
SPSB1	200
LOC100506022	0
SLC25A33	55
TMEM201	63
PIK3CD	8
C1orf200	0
LOC101929074	0
CLSTN1	429
CTNNBIP1	17
LZIC	5
NMNAT1	1
MIR5697	0
