Geneid	Br11_3
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	15
LOC100996442	0
LOC102723897	3
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	20
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	11
NOC2L	91
KLHL17	2
PLEKHN1	0
PERM1	0
HES4	81
ISG15	242
AGRN	183
LOC100288175	0
RNF223	0
C1orf159	21
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	147
B3GALT6	12
FAM132A	0
UBE2J2	178
LOC101928895	6
SCNN1D	29
ACAP3	91
MIR6726	0
PUSL1	136
CPSF3L	69
MIR6727	0
GLTPD1	83
TAS1R3	0
DVL1	0
MIR6808	0
MXRA8	0
AURKAIP1	159
CCNL2	604
LOC148413	55
MRPL20	51
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	63
ATAD3C	4
ATAD3B	73
ATAD3A	86
TMEM240	0
SSU72	220
C1orf233	41
MIB2	62
MMP23B	0
CDK11B	35
SLC35E2B	37
MMP23A	0
CDK11A	1
SLC35E2	1
NADK	1
GNB1	27
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	116
PRKCZ	58
LOC101929017	4
LOC100506504	0
C1orf86	17
SKI	1
MORN1	0
LOC100129534	0
RER1	519
PEX10	16
PLCH2	0
PANK4	79
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	141
MMEL1	49
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	240
MEGF6	12
MIR551A	0
TPRG1L	40
WRAP73	103
TP73	28
TP73-AS1	51
CCDC27	0
SMIM1	0
LRRC47	44
CEP104	47
DFFB	0
C1orf174	0
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	52
KCNAB2	1
CHD5	0
RPL22	12
LOC102724450	0
RNF207	4
ICMT	469
LINC00337	0
HES3	0
GPR153	0
ACOT7	113
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	93
TAS1R1	0
ZBTB48	0
KLHL21	0
PHF13	126
THAP3	57
DNAJC11	69
LOC100505887	0
CAMTA1	23
LOC100129476	0
LOC101928836	0
VAMP3	124
PER3	0
UTS2	0
TNFRSF9	0
PARK7	345
ERRFI1	0
LOC102724539	0
SLC45A1	0
RERE	233
LOC102724552	2
ENO1	2348
MIR6728	25
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	45
MIR34A	0
LOC102724571	7
H6PD	16
SPSB1	1
LOC100506022	0
SLC25A33	0
TMEM201	303
PIK3CD	4
C1orf200	0
LOC101929074	0
CLSTN1	153
CTNNBIP1	154
LZIC	59
NMNAT1	0
MIR5697	0
LOC102724647	0
