Geneid	Br61_CTC___6
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	40
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	7
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	4
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	90
LOC100130417	0
LOC101928801	0
SAMD11	21
NOC2L	116
KLHL17	0
PLEKHN1	30
PERM1	0
HES4	50
ISG15	74
AGRN	81
LOC100288175	0
RNF223	12
C1orf159	77
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	3
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	350
B3GALT6	0
FAM132A	0
UBE2J2	83
LOC101928895	0
SCNN1D	0
ACAP3	26
MIR6726	0
PUSL1	63
CPSF3L	315
MIR6727	0
GLTPD1	86
TAS1R3	0
DVL1	0
MIR6808	0
MXRA8	0
AURKAIP1	250
CCNL2	150
LOC148413	46
MRPL20	244
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	2
ATAD3B	1
ATAD3A	46
TMEM240	0
SSU72	649
C1orf233	0
MIB2	31
MMP23B	0
CDK11B	11
SLC35E2B	16
MMP23A	0
CDK11A	0
SLC35E2	22
NADK	19
GNB1	12
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	2
LOC101929017	0
LOC100506504	0
C1orf86	0
SKI	0
MORN1	67
LOC100129534	2
RER1	167
PEX10	242
PLCH2	0
PANK4	0
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	175
MMEL1	21
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	0
MEGF6	109
MIR551A	0
TPRG1L	22
WRAP73	0
TP73	0
TP73-AS1	180
CCDC27	0
SMIM1	0
LRRC47	85
CEP104	0
DFFB	72
C1orf174	18
LINC01134	11
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	239
LOC102724450	0
RNF207	1
ICMT	52
LINC00337	0
HES3	0
GPR153	0
ACOT7	18
HES2	137
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	12
NOL9	0
TAS1R1	0
ZBTB48	0
KLHL21	13
PHF13	0
THAP3	40
DNAJC11	54
LOC100505887	0
CAMTA1	63
LOC100129476	0
LOC101928836	0
VAMP3	175
PER3	0
UTS2	0
TNFRSF9	0
PARK7	334
ERRFI1	307
LOC102724539	0
SLC45A1	0
RERE	235
LOC102724552	0
ENO1	1553
MIR6728	6
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	73
MIR34A	0
LOC102724571	0
H6PD	62
SPSB1	0
LOC100506022	0
SLC25A33	114
TMEM201	67
PIK3CD	17
C1orf200	0
LOC101929074	0
CLSTN1	340
CTNNBIP1	0
LZIC	151
NMNAT1	0
MIR5697	0
