Geneid	Br61_CTC___4
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	1
LOC100996442	0
LOC102723897	5
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	1
OR4F16	0
LOC100133331	1
LOC101928706	0
LOC101060494	0
LOC100288069	2
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	4
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	56
NOC2L	284
KLHL17	0
PLEKHN1	0
PERM1	0
HES4	108
ISG15	0
AGRN	102
LOC100288175	13
RNF223	25
C1orf159	132
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	232
B3GALT6	83
FAM132A	0
UBE2J2	222
LOC101928895	0
SCNN1D	9
ACAP3	241
MIR6726	0
PUSL1	141
CPSF3L	111
MIR6727	1
GLTPD1	42
TAS1R3	0
DVL1	51
MIR6808	0
MXRA8	3
AURKAIP1	232
CCNL2	290
LOC148413	59
MRPL20	128
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	0
ATAD3B	41
ATAD3A	49
TMEM240	0
SSU72	345
C1orf233	86
MIB2	9
MMP23B	0
CDK11B	22
SLC35E2B	58
MMP23A	0
CDK11A	17
SLC35E2	18
NADK	78
GNB1	122
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	135
LOC101929017	5
LOC100506504	0
C1orf86	100
SKI	0
MORN1	5
LOC100129534	0
RER1	194
PEX10	24
PLCH2	0
PANK4	68
HES5	0
LOC115110	0
LOC100133445	3
TNFRSF14	48
RP3-395M20.9	0
FAM213B	109
MMEL1	82
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	179
MEGF6	6
MIR551A	0
TPRG1L	71
WRAP73	30
TP73	0
TP73-AS1	41
CCDC27	0
SMIM1	0
LRRC47	74
CEP104	0
DFFB	0
C1orf174	81
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	201
LOC102724450	0
RNF207	1
ICMT	357
LINC00337	0
HES3	0
GPR153	0
ACOT7	308
HES2	9
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	0
TAS1R1	0
ZBTB48	3
KLHL21	55
PHF13	87
THAP3	29
DNAJC11	166
LOC100505887	0
CAMTA1	43
LOC100129476	0
LOC101928836	0
VAMP3	149
PER3	2
UTS2	0
TNFRSF9	0
PARK7	583
ERRFI1	238
LOC102724539	0
SLC45A1	0
RERE	88
LOC102724552	0
ENO1	2876
MIR6728	21
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	46
MIR34A	0
LOC102724571	0
H6PD	18
SPSB1	16
LOC100506022	0
SLC25A33	61
TMEM201	104
PIK3CD	5
C1orf200	0
LOC101929074	0
CLSTN1	119
CTNNBIP1	76
LZIC	0
NMNAT1	6
MIR5697	0
