Geneid	Br57_CTC__14
DDX11L1	0
WASH7P	1
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	7
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	2
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	16
LINC01128	44
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	1
SAMD11	40
NOC2L	155
KLHL17	41
PLEKHN1	7
PERM1	23
HES4	11
ISG15	177
AGRN	156
LOC100288175	42
RNF223	19
C1orf159	0
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	44
TNFRSF4	0
SDF4	111
B3GALT6	20
FAM132A	0
UBE2J2	124
LOC101928895	0
SCNN1D	0
ACAP3	24
MIR6726	4
PUSL1	92
CPSF3L	252
MIR6727	0
GLTPD1	41
TAS1R3	53
DVL1	0
MIR6808	0
MXRA8	17
AURKAIP1	49
CCNL2	530
LOC148413	89
MRPL20	111
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	1
ATAD3C	36
ATAD3B	43
ATAD3A	9
TMEM240	0
SSU72	504
C1orf233	0
MIB2	82
MMP23B	0
CDK11B	35
SLC35E2B	5
MMP23A	1
CDK11A	30
SLC35E2	28
NADK	58
GNB1	132
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	33
LOC101929017	0
LOC100506504	21
C1orf86	13
SKI	8
MORN1	0
LOC100129534	0
RER1	165
PEX10	76
PLCH2	0
PANK4	13
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	84
MMEL1	8
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	49
MEGF6	5
MIR551A	0
TPRG1L	110
WRAP73	13
TP73	1
TP73-AS1	18
CCDC27	0
SMIM1	0
LRRC47	158
CEP104	11
DFFB	0
C1orf174	35
LINC01134	6
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	2
CHD5	0
RPL22	55
LOC102724450	0
RNF207	0
ICMT	68
LINC00337	0
HES3	0
GPR153	0
