Geneid	Br16_1
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	0
LOC100996442	0
LOC102723897	2
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	2
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	1
FAM87B	0
LINC00115	9
LINC01128	0
FAM41C	0
LOC284600	65
LOC100130417	0
LOC101928801	0
SAMD11	20
NOC2L	132
KLHL17	0
PLEKHN1	68
PERM1	37
HES4	150
ISG15	1490
AGRN	35
LOC100288175	0
RNF223	9
C1orf159	89
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	218
B3GALT6	9
FAM132A	0
UBE2J2	92
LOC101928895	0
SCNN1D	5
ACAP3	81
MIR6726	0
PUSL1	80
CPSF3L	186
MIR6727	0
GLTPD1	0
TAS1R3	0
DVL1	17
MIR6808	0
MXRA8	0
AURKAIP1	158
CCNL2	653
LOC148413	112
MRPL20	150
ANKRD65	0
TMEM88B	0
LOC102724312	1
VWA1	95
ATAD3C	46
ATAD3B	106
ATAD3A	26
TMEM240	0
SSU72	334
C1orf233	104
MIB2	34
MMP23B	0
CDK11B	25
SLC35E2B	86
MMP23A	0
CDK11A	6
SLC35E2	4
NADK	2
GNB1	92
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	63
PRKCZ	61
LOC101929017	2
LOC100506504	0
C1orf86	84
SKI	0
MORN1	5
LOC100129534	0
RER1	582
PEX10	6
PLCH2	0
PANK4	51
HES5	0
LOC115110	0
LOC100133445	15
TNFRSF14	126
RP3-395M20.9	0
FAM213B	120
MMEL1	76
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	113
MEGF6	0
MIR551A	0
TPRG1L	1
WRAP73	1
TP73	13
TP73-AS1	25
CCDC27	0
SMIM1	25
LRRC47	101
CEP104	101
DFFB	0
C1orf174	86
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	15
KCNAB2	0
CHD5	0
RPL22	120
LOC102724450	0
RNF207	239
ICMT	184
LINC00337	0
HES3	0
GPR153	0
ACOT7	424
HES2	18
ESPN	18
MIR4252	0
TNFRSF25	11
PLEKHG5	38
NOL9	53
TAS1R1	0
ZBTB48	0
KLHL21	0
PHF13	212
THAP3	14
DNAJC11	71
LOC100505887	0
CAMTA1	27
LOC100129476	0
LOC101928836	0
VAMP3	107
PER3	8
UTS2	0
TNFRSF9	0
PARK7	542
ERRFI1	1
LOC102724539	0
SLC45A1	21
RERE	59
LOC102724552	0
ENO1	2897
MIR6728	12
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	11
MIR34A	0
LOC102724571	0
H6PD	32
SPSB1	236
LOC100506022	0
SLC25A33	19
TMEM201	69
PIK3CD	6
C1orf200	0
LOC101929074	0
CLSTN1	163
CTNNBIP1	25
LZIC	18
NMNAT1	27
MIR5697	0
LOC102724647	0
