Geneid	Br7_7_12
MRTO4	39
AKR7L	0
AKR7A3	0
LOC100506730	0
AKR7A2	140
PQLC2	27
CAPZB	312
LOC644083	0
MINOS1	275
MINOS1-NBL1	67
RPS14P3	29
NBL1	21
HTR6	0
TMCO4	0
RNF186	0
OTUD3	45
PLA2G2E	0
PLA2G2A	0
PLA2G5	0
PLA2G2D	0
PLA2G2F	0
PLA2G2C	0
UBXN10-AS1	0
UBXN10	115
VWA5B1	0
LINC01141	0
CAMK2N1	103
MUL1	112
FAM43B	0
CDA	23
PINK1	64
MIR6084	1
PINK1-AS	74
DDOST	450
KIF17	0
SH2D5	0
HP1BP3	326
EIF4G3	171
MIR1256	0
ECE1	189
RP5-1071N3.1	0
NBPF3	16
ALPL	65
RAP1GAP	22
USP48	43
LDLRAD2	16
HSPG2	32
LOC102723558	0
CELA3B	0
CELA3A	0
RP1-224A6.3	0
LINC00339	19
CDC42	658
WNT4	37
MIR4418	0
LOC101060363	0
ZBTB40	30
EPHA8	23
MIR6127	0
C1QA	0
C1QC	0
C1QB	0
EPHB2	0
MIR4684	0
MIR4253	0
LACTBL1	0
C1orf234	0
KDM1A	90
MIR3115	0
MIR4419A	0
LUZP1	62
HTR1D	0
RP5-1057J7.6	2
HNRNPR	206
ZNF436	0
C1orf213	0
TCEA3	95
ASAP3	168
E2F2	0
LOC101928163	0
ID3	69
MDS2	0
RPL11	950
TCEB3	82
RP5-886K2.3	0
PITHD1	14
LYPLA2	8
GALE	26
HMGCL	0
FUCA1	46
CNR2	0
MIR378F	0
PNRC2	50
SRSF10	203
MYOM3	0
IL22RA1	0
IFNLR1	23
RP11-10N16.2	0
GRHL3	7
STPG1	4
NIPAL3	0
RCAN3AS	0
RCAN3	94
LOC100506985	17
NCMAP	0
SRRM1	129
CLIC4	33
RUNX3	0
MIR6731	0
MIR4425	0
SYF2	72
C1orf63	38
RHD	0
LOC101928189	3
TMEM50A	384
RHCE	54
TMEM57	88
LDLRAP1	30
MAN1C1	51
SEPN1	29
LOC102723671	1
MTFR1L	11
LOC646471	0
AUNIP	0
PAQR7	7
STMN1	44
MIR3917	3
PAFAH2	33
EXTL1	0
LOC101928216	0
SLC30A2	0
TRIM63	0
PDIK1L	27
FAM110D	0
ZNF593	28
CNKSR1	0
CATSPER4	0
LOC101928303	0
CEP85	3
SH3BGRL3	386
UBXN11	121
CD52	0
AIM1L	1
ZNF683	0
LIN28A	1
DHDDS	50
RP3-476K8.3	0
HMGN2	52
RPS6KA1	26
MIR1976	0
LOC101928728	0
ARID1A	62
PIGV	0
ZDHHC18	62
SFN	34
GPN2	27
GPATCH3	30
NR0B2	0
NUDC	43
C1orf172	52
OSTCP2	0
TRNP1	1
FAM46B	19
LOC101928391	0
SLC9A1	50
LOC102723760	0
WDTC1	52
TMEM222	199
LOC644961	27
RNU6-48P	0
SYTL1	84
MAP3K6	6
FCN3	0
CD164L2	0
GPR3	2
WASF2	368
AHDC1	70
FGR	102
IFI6	602
FAM76A	9
STX12	21
PPP1R8	80
SCARNA1	0
THEMIS2	107
RPA2	0
SMPDL3B	0
XKR8	0
EYA3	19
PTAFR	11
DNAJC8	37
ATPIF1	118
SESN2	0
MED18	0
PHACTR4	10
SNHG3	111
RCC1	151
SNORA73A	7
RNU105A	0
TRNAU1AP	84
SNHG12	11
SNORD99	2
SNORA61	2
SNORA44	0
SNORA16A	0
RAB42	3
TAF12	1
RNU11	0
GMEB1	15
YTHDF2	177
OPRD1	0
EPB41	158
TMEM200B	0
SRSF4	98
MECR	13
PTPRU	84
RP3-437I16.1	0
RP11-111I12.1	0
MATN1	0
MATN1-AS1	0
LAPTM5	145
MIR4420	0
LOC400748	0
LOC102723832	0
SDC3	99
PUM1	160
SNORD103A	0
SNORD103B	0
SNORD85	0
LOC102723848	0
NKAIN1	32
SNRNP40	0
ZCCHC17	134
FABP3	0
SERINC2	227
RP11-439L8.3	0
RP11-439L8.4	0
TINAGL1	96
HCRTR1	0
PEF1	113
COL16A1	81
LOC101929444	11
BAI2	143
MIR4254	0
SPOCD1	0
PTP4A2	360
KHDRBS1	180
TMEM39B	0
MIR5585	0
KPNA6	224
TXLNA	21
CCDC28B	18
IQCC	0
DCDC2B	4
TMEM234	0
EIF3I	219
MTMR9LP	5
FAM167B	0
LCK	0
HDAC1	54
MARCKSL1	126
FAM229A	14
TSSK3	20
BSDC1	210
ZBTB8B	0
ZBTB8A	31
LOC102723870	0
ZBTB8OS	17
RBBP4	145
SYNC	31
KIAA1522	412
YARS	79
S100PBP	21
FNDC5	0
HPCA	4
TMEM54	144
RNF19B	71
AK2	54
ADC	0
TRIM62	0
ZNF362	5
A3GALT2	0
PHC2	85
MIR3605	4
ZSCAN20	0
CSMD2	0
HMGB4	0
RP5-1007G16.1	0
C1orf94	0
MIR552	0
GJB5	0
GJB4	0
GJB3	28
GJA4	0
SMIM12	170
DLGAP3	1
LOC653160	0
ZMYM6NB	1
ZMYM6	53
ZMYM1	21
SFPQ	314
ZMYM4	45
KIAA0319L	65
NCDN	13
TFAP2E	0
PSMB2	434
C1orf216	44
CLSPN	0
AGO4	58
AGO1	73
AGO3	2
TEKT2	27
ADPRHL2	9
COL8A2	0
TRAPPC3	79
MAP7D1	145
THRAP3	222
SH3D21	25
EVA1B	8
STK40	66
LSM10	67
OSCP1	67
MRPS15	30
CSF3R	149
GRIK3	0
MIR4255	0
LINC01137	0
ZC3H12A	14
MIR6732	0
MEAF6	337
MIR5581	0
SNIP1	13
DNALI1	40
GNL2	35
RSPO1	0
C1orf109	0
CDCA8	0
EPHA10	47
MANEAL	108
YRDC	10
C1orf122	59
MTF1	104
INPP5B	0
SF3A3	29
FHL3	0
UTP11L	0
POU3F1	0
MIR3659	0
RP11-214L19.1	0
RRAGC	108
GJA9-MYCBP	67
MYCBP	70
GJA9	0
RHBDL2	52
AKIRIN1	138
NDUFS5	325
MACF1	635
KIAA0754	54
BMP8A	0
PPIEL	0
PABPC4	97
SNORA55	0
HEYL	0
NT5C1A	0
HPCAL4	0
PPIE	34
BMP8B	0
OXCT2	1
LOC101929536	0
TRIT1	17
MYCL	19
MFSD2A	12
CAP1	598
PPT1	91
RLF	91
TMCO2	0
ZMPSTE24	140
COL9A2	65
SMAP2	22
ZFP69B	0
ZFP69	0
EXO5	4
ZNF684	0
RIMS3	0
NFYC-AS1	0
NFYC	19
MIR30E	0
MIR30C1	0
KCNQ4	0
CITED4	0
CTPS1	75
SLFNL1-AS1	9
SLFNL1	0
SCMH1	102
LOC102723924	0
FOXO6	4
LOC101929901	0
EDN2	27
HIVEP3	37
GUCA2B	0
GUCA2A	0
FOXJ3	131
RIMKLA	25
ZMYND12	0
PPCS	88
CCDC30	0
PPIH	60
YBX1	87
CLDN19	0
LEPRE1	8
C1orf50	9
LOC100129924	0
CCDC23	44
ERMAP	45
ZNF691	0
LOC339539	2
SLC2A1	104
SLC2A1-AS1	0
FAM183A	0
EBNA1BP2	110
MIR6733	0
WDR65	0
TMEM125	79
C1orf210	0
TIE1	0
MPL	0
CDC20	0
ELOVL1	269
MIR6734	0
MED8	52
SZT2	86
MIR6735	0
HYI	42
PTPRF	340
KDM4A	19
KDM4A-AS1	2
ST3GAL3	0
RP11-184I16.4	0
MIR6079	0
ARTN	4
LOC101929609	0
IPO13	143
DPH2	0
ATP6V0B	626
B4GALT2	24
CCDC24	39
SLC6A9	28
KLF17	0
DMAP1	34
ERI3	62
ERI3-IT1	0
RNF220	55
MIR5584	0
LOC102723990	3
TMEM53	0
C1orf228	0
RNU5F-1	0
RNU5D-1	0
KIF2C	0
RPS8	660
SNORD55	0
SNORD46	0
SNORD38A	9
SNORD38B	1
BEST4	4
PLK3	0
TCTEX1D4	0
BTBD19	0
PTCH2	0
EIF2B3	29
HECTD3	57
UROD	28
ZSWIM5	0
LINC01144	0
HPDL	0
MUTYH	0
TOE1	0
TESK2	0
CCDC163P	0
MMACHC	3
PRDX1	422
AKR1A1	293
NASP	46
CCDC17	0
GPBP1L1	79
RPS15AP10	13
TMEM69	2
IPP	19
MAST2	72
PIK3R3	83
RP4-533D7.5	0
TSPAN1	361
LOC102724021	0
POMGNT1	47
LURAP1	0
RAD54L	5
LOC102724045	0
LOC102724033	0
LRRC41	17
UQCRH	188
NSUN4	174
FAAH	2
LOC729041	0
RP5-1109J22.2	0
DMBX1	0
MKNK1-AS1	0
KNCN	0
MKNK1	13
LOC101929673	0
MOB3C	22
ATPAF1	3
TEX38	0
EFCAB14-AS1	1
EFCAB14	265
CYP4B1	0
CYP4Z2P	0
CYP4A11	0
CYP4X1	72
CYP4Z1	0
CYP4A22	0
LINC00853	5
PDZK1IP1	49
TAL1	0
STIL	3
CMPK1	165
LOC102724077	7
FOXE3	0
FOXD2-AS1	0
FOXD2	0
TRABD2B	0
SKINTL	0
SLC5A9	3
SPATA6	0
LOC102724088	0
AGBL4	7
BEND5	0
AGBL4-IT1	0
ELAVL4	1
DMRTA2	0
FAF1	29
CDKN2C	0
C1orf185	0
MIR4421	0
MIR6500	0
RNF11	45
TTC39A	3
LOC102724097	0
EPS15	141
OSBPL9	94
NRD1	78
MIR761	0
RAB3B	0
TXNDC12	59
KTI12	12
BTF3L4	133
ZFYVE9	17
CC2D1B	43
ORC1	10
PRPF38A	0
ZCCHC11	14
GPX7	0
FAM159A	0
COA7	13
ZYG11B	39
ZYG11A	6
ECHDC2	95
SCP2	107
MIR1273F	0
MIR5095	0
MIR1273G	0
PODN	0
SLC1A7	0
LOC102724114	0
CPT2	92
C1orf123	60
MAGOH	13
RP5-1024G6.5	0
LRP8	0
LOC102724125	0
SLC25A3P1	0
DMRTB1	0
GLIS1	0
NDC1	1
YIPF1	44
DIO1	0
HSPB11	0
LRRC42	44
LDLRAD1	0
TMEM59	570
TCEANC2	48
MIR4781	0
CDCP2	0
CYB5RL	0
MRPL37	183
SSBP3	53
SSBP3-AS1	0
ACOT11	0
FAM151A	0
MROH7	0
MROH7-TTC4	0
TTC4	0
PARS2	0
TTC22	34
C1orf177	0
DHCR24	798
TRNAK-CUU	0
TMEM61	0
BSND	0
PCSK9	0
USP24	141
LOC100507634	0
MIR4422	0
LOC102724140	0
PPAP2B	47
PRKAA2	104
LOC102724154	0
C1orf168	0
LOC101929757	0
C8A	0
C8B	0
DAB1	20
DAB1-AS1	0
OMA1	0
TACSTD2	2116
MYSM1	32
JUN	186
LINC01135	0
LOC101926907	0
RP4-794H19.4	0
HSD52	0
FGGY	10
MIR4711	0
RP4-782L23.1	0
HOOK1	19
CYP2J2	0
C1orf87	0
RP11-436K8.1	0
LOC100996570	0
NFIA	362
LOC102724281	0
RP5-833A20.1	0
MGC34796	0
TM2D1	12
INADL	69
MIR3116-1	0
MIR3116-2	0
L1TD1	0
KANK4	0
USP1	45
DOCK7	0
ANGPTL3	0
RP11-230B22.1	0
ATG4C	0
LINC00466	3
LOC100996301	0
FOXD3	0
MIR6068	0
ALG6	0
ITGB3BP	3
LOC102724319	0
EFCAB7	57
DLEU2L	0
PGM1	0
ROR1	0
RP11-24J23.2	7
UBE2U	0
CACHD1	0
LOC101927065	0
MIR4794	0
RAVER2	47
JAK1	1121
RP11-182I10.3	0
MIR3671	0
MIR101-1	0
AK4	29
DNAJC6	0
LOC102724416	0
LEPROT	122
LEPR	7
PDE4B	43
RP11-397C12.1	0
SGIP1	0
MIR3117	0
TCTEX1D1	0
INSL5	0
WDR78	0
MIER1	89
SLC35D1	11
C1orf141	0
IL23R	0
IL12RB2	0
SERBP1	112
LOC102724481	0
GADD45A	0
GNG12	516
GNG12-AS1	0
DIRAS3	0
WLS	0
LOC101929986	0
MIR1262	0
RPE65	0
DEPDC1	0
RP4-694A7.4	0
LRRC7	4
PIN1P1	0
LRRC40	10
SRSF11	221
ANKRD13C	0
HHLA3	0
LOC102724548	0
CTH	1
RP5-952N6.1	0
LOC102724572	0
PTGER3	1
ZRANB2-AS1	9
ZRANB2	115
MIR186	0
ZRANB2-AS2	0
NEGR1	0
NEGR1-IT1	0
RP11-262K1.1	0
RP4-598G3.1	2
LRRIQ3	0
FPGT-TNNI3K	0
FPGT	0
TNNI3K	0
C1orf173	0
LOC101927320	0
CRYZ	121
TYW3	33
LHX8	0
SLC44A5	0
ACADM	19
RABGGTB	93
SNORD45C	0
SNORD45A	0
SNORD45B	0
MSH4	0
ASB17	0
RP11-550H2.1	0
ST6GALNAC3	0
ST6GALNAC5	0
MIR7156	0
PIGK	0
AK5	0
ZZZ3	6
USP33	186
FAM73A	66
NEXN-AS1	0
NEXN	13
FUBP1	45
DNAJB4	1
GIPC2	0
MGC27382	0
PTGFR	7
IFI44L	1
IFI44	0
ELTD1	0
RP5-887A10.1	0
LOC101927458	0
LPHN2	0
RP11-170N11.1	0
LOC101927542	0
RP11-475O6.1	0
RP11-475O6.1-2	0
TTLL7	9
PRKACB	12
LOC101927611	0
LOC101927633	0
SAMD13	0
UOX	0
DNASE2B	0
LOC101927656	0
RPF1	72
GNG5	141
SPATA1	0
CTBS	18
LOC101927773	0
C1orf180	0
SSX2IP	75
LOC102724892	0
LPAR3	5
MCOLN2	0
MCOLN3	0
WDR63	0
MIR4423	0
SYDE2	0
C1orf52	14
BCL10	182
LOC646626	22
DDAH1	209
LOC101930232	0
CYR61	202
ZNHIT6	85
COL24A1	0
ODF2L	33
MIR7856	0
CLCA2	0
CLCA1	0
CLCA4	0
CLCA3P	0
SH3GLB1	146
SEP15	358
HS2ST1	0
LINC01140	0
LOC101927844	0
LMO4	1
RP4-544H6.2	0
LOC101927871	0
RP11-76N22.2	0
PKN2	39
GTF2B	36
CCBL2	4
RBMXL1	3
GBP3	9
GBP1	0
GBP2	323
GBP7	0
GBP4	0
GBP5	4
LOC729930	0
GBP6	0
GBP1P1	0
LRRC8B	24
FLJ27354	0
LRRC8C	0
LOC102723361	0
LOC101927952	0
LOC101927933	0
LOC101927975	0
LRRC8D	16
GEMIN8P4	0
ZNF326	67
BARHL2	0
LOC149351	0
ZNF644	62
LOC102723410	0
HFM1	0
CDC7	0
LOC102723436	0
TGFBR3	54
BRDT	0
EPHX4	0
SETSIP	0
BTBD8	0
KIAA1107	1
C1orf146	0
GLMN	8
RPAP2	33
GFI1	0
EVI5	1
RPL5	553
FAM69A	0
SNORD21	0
SNORA66	0
MTF2	69
TMED5	239
CCDC18	16
LOC100131564	24
DR1	3
FNBP1L	386
TRNAC-GCA	0
BCAR3	34
RP5-1033H22.2	8
LOC102723480	0
MIR760	0
TRNAR15	0
DNTTIP2	90
GCLM	130
ABCA4	0
ARHGAP29	2
LOC100505940	0
ABCD3	125
F3	0
LOC102723542	0
LINC01057	0
MIR378G	0
SLC44A3	27
CNN3	617
RP4-639F20.1	13
ALG14	0
LOC101928098	0
TMEM56	62
TMEM56-RWDD3	11
RP11-57H12.3	0
RWDD3	19
LOC100996630	0
LOC101928169	0
FLJ31662	0
RP11-286B14.1	0
LOC101928219	0
LOC102723661	0
RP5-898J17.1	0
PTBP2	38
DPYD	15
DPYD-AS1	0
DPYD-AS2	1
LOC102723700	0
MIR137HG	0
MIR2682	0
MIR137	0
RP5-1070A16.1	0
SNX7	0
LPPR5	0
RP5-896L10.1	0
LPPR4	0
RP11-413P11.1	0
PALMD	339
FRRS1	0
AGL	31
LOC101930120	0
SLC35A3	64
HIAT1	85
SASS6	30
TRMT13	14
LRRC39	9
DBT	6
RP11-305E17.6	0
RTCA	21
MIR553	0
CDC14A	31
GPR88	0
RP11-84O12.4	0
VCAM1	0
EXTL2	3
SLC30A7	215
DPH5	89
LOC102606465	0
LOC101928334	0
LOC101928370	0
S1PR1	0
LOC102723784	0
OLFM3	0
DNAJA1P5	0
COL11A1	1
LOC101928436	0
RNPC3	144
AMY2B	8
ACTG1P4	0
AMY2A	0
AMY1A	0
AMY1B	0
AMY1C	0
LOC100129138	3
RP11-251P6.1	0
PRMT6	2
NTNG1	0
LOC102724829	0
VAV3	110
MIR7852	0
VAV3-AS1	0
SLC25A24	156
NBPF4	0
LOC400768	0
NBPF6	0
FAM102B	66
HENMT1	29
PRPF38B	55
FNDC7	0
STXBP3	29
AKNAD1	12
SPATA42	0
GPSM2	32
CLCC1	83
WDR47	25
TAF13	38
TMEM167B	50
SCARNA2	1
C1orf194	0
KIAA1324	165
SARS	125
CELSR2	20
PSRC1	0
MYBPHL	0
SORT1	141
PSMA5	294
SYPL2	0
ATXN7L2	6
CYB561D1	44
AMIGO1	83
GPR61	0
LOC101928560	0
GNAI3	130
MIR197	0
GNAT2	0
AMPD2	267
GSTM4	0
GSTM2	0
GSTM1	0
GSTM5	0
GSTM3	16
EPS8L3	0
CSF1	8
AHCYL1	268
STRIP1	20
ALX3	0
UBL4B	0
SLC6A17	11
KCNC4-AS1	0
KCNC4	0
RP5-1074L1.1	8
RBM15	58
SLC16A4	0
LAMTOR5	192
LAMTOR5-AS1	0
PROK1	0
CYMP	0
LOC440602	0
KCNA10	0
KCNA2	0
KCNA3	0
CD53	59
LRIF1	15
DRAM2	55
CEPT1	36
DENND2D	9
CHI3L2	0
CHIAP2	0
CHIA	0
PIFO	111
PGCP1	0
OVGP1	84
WDR77	65
ATP5F1	144
C1orf162	83
ADORA3	0
LINC01160	0
RAP1A	127
FAM212B	0
FAM212B-AS1	0
LOC101928718	0
DDX20	0
KCND3	29
KCND3-IT1	0
LOC643355	0
LOC101928754	0
CTTNBP2NL	93
MIR4256	0
WNT2B	0
ST7L	4
CAPZA1	203
MOV10	175
RHOC	323
PPM1J	0
FAM19A3	0
LOC128322	6
RP11-426L16.8	0
SLC16A1	7
AKR7A2P1	2
SLC16A1-AS1	0
LOC101930375	0
RP11-31F15.2	8
LRIG2	0
LOC102723919	9
LOC643441	0
MAGI3	72
PHTF1	66
RSBN1	9
PTPN22	24
RP5-1073O3.2	3
AP4B1-AS1	0
BCL2L15	0
AP4B1	0
DCLRE1B	0
RP5-1073O3.7	0
HIPK1	56
OLFML3	0
SYT6	0
TRIM33	206
LOC101928890	0
BCAS2	40
DENND2C	5
AMPD1	0
NRAS	78
CSDE1	413
SIKE1	117
SYCP1	0
TSHB	0
TSPAN2	8
NGF	0
VANGL1	25
CASQ2	0
NHLH2	0
LOC101928977	0
SLC22A15	22
MAB21L3	6
ATP1A1	314
ATP1A1OS	57
RP4-655J12.4	0
CD58	109
MIR548AC	0
IGSF3	84
MIR320B1	0
C1orf137	0
CD2	0
PTGFRN	46
CD101	0
RP11-27K13.3	0
TTF2	78
MIR942	0
TRIM45	51
VTCN1	0
MAN1A2	88
FAM46C	0
GDAP2	25
WDR3	56
SPAG17	101
TBX15	21
WARS2	18
RP11-418J17.1	2
HAO2	25
HAO2-IT1	0
HSD3B2	0
HSD3B1	0
HSD3BP4	0
LINC00622	0
ZNF697	0
PHGDH	0
HMGCS2	0
REG4	0
NBPF7	0
ADAM30	0
NOTCH2	11
LOC101929178	0
SEC22B	20
LOC100996723	0
LOC101929786	0
LOC101929788	0
NBPF8	7
PFN1P2	0
LOC102724372	0
LOC100996724	2
LOC101929792	0
LOC101929796	4
LOC102724282	0
NBPF26	6
TRNAN5	0
RNVU1-19	0
PPIAL4B	0
LINC00623	0
RNVU1-4	0
TRNAN22	0
LINC00623-2	0
LOC100996721	0
TRNAG-CCC-2	0
TRNAV-CAC	0
LOC101929798	0
TRNAN-GUU-2	0
FCGR1B	0
LOC100996318	0
HIST2H2BA	0
FAM72B	0
LOC102724451	0
SRGAP2C	0
SRGAP2-AS1	0
EMBP1	0
LOC101929814	0
LOC100996735	0
LOC101929815	0
LOC101927452	0
NBPF23P	0
TRNAQ20	0
RNVU1-17	0
RNVU1-18	0
LOC101929561	0
TRNAN3	0
LOC388692	0
TRNAV16	0
TRNAV25	0
RP11-353N4.5	0
TRNAN29	0
FCGR1C	0
LOC100996713	0
FAM72C	0
SRGAP2D	0
LOC102724504	0
LOC101929803	0
LOC100996732	0
LOC101927333	0
PPIAL4E	0
RNVU1-15	0
TRNAN27	0
NBPF15	0
TRNAN15	0
PPIAL4F	0
LOC101929826	0
LOC101927429	0
RP11-14N7.2	0
SRGAP2B	0
LOC102724255	0
FAM72D	0
TRNAN-GUU-3	0
LOC101929805	0
TRNAV-CAC-2	0
TRNAV-CAC-3	0
LOC102724235	0
LOC100996741	0
LOC100996740	0
PPIAL4D	0
RNVU1-14	0
TRNAN1	0
NBPF20	4
TRNAQ-CUG	0
TRNAN-GUU-4	0
LOC102724173	0
LOC101060254	0
NBPF25P	2
GPR89A	21
PDZK1	1
CD160	0
RNF115	85
POLR3C	63
NUDT17	30
PIAS3	65
MIR6736	0
ANKRD35	0
ITGA10	0
PEX11B	20
GNRHR2	0
RBM8A	71
LIX1L	0
POLR3GL	0
ANKRD34A	0
TXNIP	571
HFE2	0
TRNAE21	0
TRNAG11	0
TRNAH4	0
TRNAK20	0
RNVU1-6	0
RP11-458D21.1	0
NBPF10	5
NOTCH2NL	3
NUDT4P2	0
LOC102724364	0
TRNAN-GUU-5	0
LOC100996756	0
LOC102724558	0
LOC102724573	0
HYDIN2	0
NBPF12	7
LOC101929781	0
LOC728989	0
TRNAH10	0
NBPF13P	1
PRKAB2	66
CHD1L	73
PDIA3P1	373
FMO5	26
LINC00624	1
BCL9	7
ACP6	0
LOC102723321	0
GJA5	0
GJA8	0
GPR89B	15
TRNAQ13	0
RNVU1-7	0
TRNAN19	0
NBPF11	0
LOC100505824	0
LOC101929257	0
RP4-565E6.1	0
TRNAQ8	0
