Geneid	Br57_CTC__15
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	9
LOC100996442	0
LOC102723897	2
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	4
RP5-857K21.5	0
MIR6723	6
OR4F16	0
LOC100133331	5
LOC101928706	4
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	5
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	20
LOC101928801	0
SAMD11	22
NOC2L	166
KLHL17	28
PLEKHN1	33
PERM1	0
HES4	22
ISG15	160
AGRN	71
LOC100288175	20
RNF223	18
C1orf159	29
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	75
B3GALT6	19
FAM132A	0
UBE2J2	151
LOC101928895	0
SCNN1D	8
ACAP3	87
MIR6726	1
PUSL1	11
CPSF3L	231
MIR6727	0
GLTPD1	93
TAS1R3	0
DVL1	0
MIR6808	0
MXRA8	0
AURKAIP1	129
CCNL2	359
LOC148413	9
MRPL20	40
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	9
ATAD3C	0
ATAD3B	11
ATAD3A	0
TMEM240	0
SSU72	189
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	28
SLC35E2B	118
MMP23A	0
CDK11A	52
SLC35E2	39
NADK	39
GNB1	250
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	59
LOC101929017	0
LOC100506504	0
C1orf86	75
SKI	30
MORN1	4
LOC100129534	0
RER1	105
PEX10	65
PLCH2	0
PANK4	42
HES5	0
LOC115110	0
LOC100133445	1
TNFRSF14	33
RP3-395M20.9	0
FAM213B	64
MMEL1	19
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	121
MEGF6	53
MIR551A	0
TPRG1L	19
WRAP73	79
TP73	0
TP73-AS1	13
CCDC27	0
SMIM1	24
LRRC47	190
CEP104	23
DFFB	17
C1orf174	24
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	21
LOC102724450	0
RNF207	2
ICMT	93
LINC00337	0
HES3	0
GPR153	0
ACOT7	168
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	66
TAS1R1	0
ZBTB48	11
KLHL21	14
PHF13	23
THAP3	31
DNAJC11	27
LOC100505887	0
CAMTA1	12
LOC100129476	0
LOC101928836	0
VAMP3	119
PER3	36
UTS2	0
TNFRSF9	0
PARK7	415
ERRFI1	99
LOC102724539	0
SLC45A1	0
RERE	126
LOC102724552	0
ENO1	2322
MIR6728	14
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	55
MIR34A	0
LOC102724571	0
H6PD	119
SPSB1	0
LOC100506022	0
SLC25A33	8
TMEM201	0
PIK3CD	0
C1orf200	0
LOC101929074	0
CLSTN1	58
CTNNBIP1	14
LZIC	17
NMNAT1	0
MIR5697	0
